"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","316.8277E+00",""
"2","1.000","316.7879E+00",""
"3","1.000","316.7753E+00",""
"4","1.000","316.8560E+00",""
"5","1.000","316.8527E+00",""
"6","1.000","316.7736E+00",""
"7","1.000","316.7636E+00",""
"8","1.000","316.7726E+00",""
"9","1.000","316.8607E+00",""
"10","1.000","316.9383E+00",""
"11","1.000","316.9428E+00",""
"12","1.000","316.9134E+00",""
"13","1.000","316.8781E+00",""
"14","1.000","316.8812E+00",""
"15","1.000","316.9892E+00",""
"16","1.000","317.0000E+00",""
"17","1.000","317.0074E+00",""
"18","1.000","316.8725E+00",""
"19","1.000","316.8928E+00",""
"20","1.000","316.8064E+00",""
"21","1.000","316.9968E+00",""
"22","1.000","316.8122E+00",""
"23","1.000","316.8845E+00",""
"24","1.000","316.8466E+00",""
"25","1.000","316.7792E+00",""
"26","1.000","316.8770E+00",""
"27","1.000","316.7940E+00",""
"28","1.000","316.7985E+00",""
"29","1.000","316.7226E+00",""
"30","1.000","316.7056E+00",""
"31","1.000","316.7513E+00",""
"32","1.000","316.8066E+00",""
"33","1.000","316.8331E+00",""
"34","1.000","316.7476E+00",""
"35","1.000","316.6211E+00",""
"36","1.000","316.6013E+00",""
"37","1.000","316.5593E+00",""
"38","1.000","316.6092E+00",""
"39","1.000","316.6805E+00",""
"40","1.000","316.6969E+00",""
"41","1.000","316.7881E+00",""
"42","1.000","316.7181E+00",""
"43","1.000","316.7662E+00",""
"44","1.000","316.6787E+00",""
"45","1.000","316.7032E+00",""
"46","1.000","316.7324E+00",""
"47","1.000","316.7434E+00",""
"48","1.000","316.7037E+00",""
"49","1.000","316.6661E+00",""
"50","1.000","316.8090E+00",""
"51","1.000","316.8969E+00",""
"52","1.000","316.8984E+00",""
"53","1.000","316.8596E+00",""
"54","1.000","316.7555E+00",""
"55","1.000","316.6234E+00",""
"56","1.000","316.5412E+00",""
"57","1.000","316.7690E+00",""
"58","1.000","316.7515E+00",""
"59","1.000","316.7957E+00",""
"60","1.000","316.8099E+00",""
"61","1.000","316.7898E+00",""
"62","1.000","316.8295E+00",""
"63","1.000","316.7714E+00",""
"64","1.000","316.8645E+00",""
"65","1.000","316.8551E+00",""
"66","1.000","316.7593E+00",""
"67","1.000","316.7375E+00",""
"68","1.000","316.8803E+00",""
"69","1.000","316.8412E+00",""
"70","1.000","316.7779E+00",""
"71","1.000","316.9241E+00",""
"72","1.000","316.9927E+00",""
"73","1.000","317.0281E+00",""
"74","1.000","316.9775E+00",""
"75","1.000","316.9524E+00",""
"76","1.000","317.0276E+00",""
"77","1.000","317.1213E+00",""
"78","1.000","317.0902E+00",""
"79","1.000","317.1071E+00",""
"80","1.000","317.1623E+00",""
"81","1.000","317.2541E+00",""
"82","1.000","317.2390E+00",""
"83","1.000","317.4258E+00",""
"84","1.000","317.3858E+00",""
"85","1.000","317.3947E+00",""
"86","1.000","317.5004E+00",""
"87","1.000","317.5725E+00",""
"88","1.000","317.6184E+00",""
"89","1.000","317.5613E+00",""
"90","1.000","317.6156E+00",""
"91","1.000","317.4741E+00",""
"92","1.000","317.4575E+00",""
"93","1.000","317.4992E+00",""
"94","1.000","317.5464E+00",""
"95","1.000","317.5623E+00",""
"96","1.000","317.5428E+00",""
"97","1.000","317.5096E+00",""
"98","1.000","317.4929E+00",""
"99","1.000","317.4661E+00",""
"100","1.000","317.5115E+00",""
"101","1.000","317.4660E+00",""
"102","1.000","317.5307E+00",""
"103","1.000","317.6118E+00",""
"104","1.000","317.5838E+00",""
"105","1.000","317.6463E+00",""
"106","1.000","317.6494E+00",""
"107","1.000","317.6187E+00",""
"108","1.000","317.6049E+00",""
"109","1.000","317.6459E+00",""
"110","1.000","317.6097E+00",""
"111","1.000","317.5397E+00",""
"112","1.000","317.6005E+00",""
"113","1.000","317.5598E+00",""
"114","1.000","317.5653E+00",""
"115","1.000","317.6002E+00",""
"116","1.000","317.6198E+00",""
"117","1.000","317.5295E+00",""
"118","1.000","317.5844E+00",""
"119","1.000","317.6028E+00",""
"120","1.000","317.5819E+00",""
"121","1.000","317.6165E+00",""
"122","1.000","317.6110E+00",""
"123","1.000","317.7218E+00",""
"124","1.000","317.7300E+00",""
"125","1.000","317.7450E+00",""
"126","1.000","317.7174E+00",""
"127","1.000","317.6902E+00",""
"128","1.000","317.6265E+00",""
"129","1.000","317.7312E+00",""
"130","1.000","317.8446E+00",""
"131","1.000","317.8699E+00",""
"132","1.000","317.8534E+00",""
"133","1.000","317.9786E+00",""
"134","1.000","317.8138E+00",""
"135","1.000","317.9071E+00",""
"136","1.000","317.9826E+00",""
"137","1.000","318.0527E+00",""
"138","1.000","318.0489E+00",""
"139","1.000","318.1859E+00",""
"140","1.000","318.0602E+00",""
"141","1.000","318.0991E+00",""
"142","1.000","318.1194E+00",""
"143","1.000","318.1473E+00",""
"144","1.000","318.2099E+00",""
"145","1.000","318.2072E+00",""
"146","1.000","318.1985E+00",""
"147","1.000","318.2025E+00",""
"148","1.000","318.2584E+00",""
"149","1.000","318.1633E+00",""
"150","1.000","318.2442E+00",""
"151","1.000","318.2390E+00",""
"152","1.000","318.2413E+00",""
"153","1.000","318.3279E+00",""
"154","1.000","318.3181E+00",""
"155","1.000","318.3444E+00",""
"156","1.000","318.3022E+00",""
"157","1.000","318.3570E+00",""
"158","1.000","318.3087E+00",""
"159","1.000","318.3452E+00",""
"160","1.000","318.4079E+00",""
"161","1.000","318.3793E+00",""
"162","1.000","318.5455E+00",""
"163","1.000","318.4109E+00",""
"164","1.000","318.4752E+00",""
"165","1.000","318.5405E+00",""
"166","1.000","318.4918E+00",""
"167","1.000","318.4930E+00",""
"168","1.000","318.5106E+00",""
"169","1.000","318.5078E+00",""
"170","1.000","318.4831E+00",""
"171","1.000","318.4672E+00",""
"172","1.000","318.4947E+00",""
"173","1.000","318.6456E+00",""
"174","1.000","318.5201E+00",""
"175","1.000","318.5218E+00",""
"176","1.000","318.4986E+00",""
"177","1.000","318.5670E+00",""
"178","1.000","318.5952E+00",""
"179","1.000","318.6391E+00",""
"180","1.000","318.6170E+00",""
"181","1.000","318.6018E+00",""
"182","1.000","318.6295E+00",""
"183","1.000","318.6281E+00",""
"184","1.000","318.7076E+00",""
"185","1.000","318.6210E+00",""
"186","1.000","318.6767E+00",""
"187","1.000","318.6739E+00",""
"188","1.000","318.6183E+00",""
"189","1.000","318.6211E+00",""
"190","1.000","318.6384E+00",""
"191","1.000","318.6956E+00",""
"192","1.000","318.6686E+00",""
"193","1.000","318.7086E+00",""
"194","1.000","318.6751E+00",""
"195","1.000","318.5657E+00",""
"196","1.000","318.6243E+00",""
"197","1.000","318.5274E+00",""
"198","1.000","318.5681E+00",""
"199","1.000","318.5682E+00",""
"200","1.000","318.5984E+00",""
"201","1.000","318.5649E+00",""
"202","1.000","318.5160E+00",""
"203","1.000","318.5481E+00",""
"204","1.000","318.4950E+00",""
"205","1.000","318.5518E+00",""
"206","1.000","318.5719E+00",""
"207","1.000","318.5542E+00",""
"208","1.000","318.5110E+00",""
"209","1.000","318.4356E+00",""
"210","1.000","318.4432E+00",""
"211","1.000","318.4039E+00",""
"212","1.000","318.4022E+00",""
"213","1.000","318.4506E+00",""
"214","1.000","318.3385E+00",""
"215","1.000","318.3393E+00",""
"216","1.000","318.2314E+00",""
"217","1.000","318.2014E+00",""
"218","1.000","318.1614E+00",""
"219","1.000","318.3618E+00",""
"220","1.000","318.3678E+00",""
"221","1.000","318.3341E+00",""
"222","1.000","318.2741E+00",""
"223","1.000","318.2611E+00",""
"224","1.000","318.2260E+00",""
"225","1.000","318.2199E+00",""
"226","1.000","318.3752E+00",""
"227","1.000","318.3476E+00",""
"228","1.000","318.3996E+00",""
"229","1.000","318.3531E+00",""
"230","1.000","318.3316E+00",""
"231","1.000","318.2608E+00",""
"232","1.000","318.3112E+00",""
"233","1.000","318.3420E+00",""
"234","1.000","318.4142E+00",""
"235","1.000","318.3909E+00",""
"236","1.000","318.2864E+00",""
"237","1.000","318.2440E+00",""
"238","1.000","318.1519E+00",""
"239","1.000","318.1760E+00",""
"240","1.000","318.2118E+00",""
"241","1.000","318.1333E+00",""

