"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","276.3312E+00",""
"2","1.000","275.6983E+00",""
"3","1.000","275.2271E+00",""
"4","1.000","274.9050E+00",""
"5","1.000","274.4841E+00",""
"6","1.000","273.9162E+00",""
"7","1.000","271.1347E+00",""
"8","1.000","270.7862E+00",""
"9","1.000","270.2405E+00",""
"10","1.000","269.9577E+00",""
"11","1.000","269.6106E+00",""
"12","1.000","269.3908E+00",""
"13","1.000","269.2150E+00",""
"14","1.000","268.9034E+00",""
"15","1.000","268.7496E+00",""
"16","1.000","268.4053E+00",""
"17","1.000","268.1544E+00",""
"18","1.000","267.9557E+00",""
"19","1.000","267.8145E+00",""
"20","1.000","267.6663E+00",""
"21","1.000","267.4811E+00",""
"22","1.000","267.3622E+00",""
"23","1.000","267.2112E+00",""
"24","1.000","267.1772E+00",""
"25","1.000","266.9302E+00",""
"26","1.000","266.7514E+00",""
"27","1.000","266.5170E+00",""
"28","1.000","266.4177E+00",""
"29","1.000","266.3565E+00",""
"30","1.000","266.1414E+00",""
"31","1.000","266.0313E+00",""
"32","1.000","265.9332E+00",""
"33","1.000","265.8111E+00",""
"34","1.000","265.7589E+00",""
"35","1.000","265.7190E+00",""
"36","1.000","265.6273E+00",""
"37","1.000","265.5858E+00",""
"38","1.000","265.4861E+00",""
"39","1.000","265.4477E+00",""
"40","1.000","265.3874E+00",""
"41","1.000","265.2962E+00",""
"42","1.000","265.2693E+00",""
"43","1.000","265.2228E+00",""
"44","1.000","265.1468E+00",""
"45","1.000","265.0515E+00",""
"46","1.000","264.9813E+00",""
"47","1.000","264.9437E+00",""
"48","1.000","264.8473E+00",""
"49","1.000","264.8228E+00",""
"50","1.000","264.7454E+00",""
"51","1.000","264.6472E+00",""
"52","1.000","264.6479E+00",""
"53","1.000","264.5808E+00",""
"54","1.000","264.5379E+00",""
"55","1.000","264.5093E+00",""
"56","1.000","264.4715E+00",""
"57","1.000","264.4658E+00",""
"58","1.000","264.3847E+00",""
"59","1.000","264.3657E+00",""
"60","1.000","264.3377E+00",""
"61","1.000","264.3142E+00",""
"62","1.000","264.2639E+00",""
"63","1.000","264.2724E+00",""
"64","1.000","264.2324E+00",""
"65","1.000","264.2227E+00",""
"66","1.000","264.1745E+00",""
"67","1.000","264.1592E+00",""
"68","1.000","264.1323E+00",""
"69","1.000","264.1022E+00",""
"70","1.000","264.0431E+00",""
"71","1.000","264.0139E+00",""
"72","1.000","264.0030E+00",""
"73","1.000","263.9753E+00",""
"74","1.000","263.9535E+00",""
"75","1.000","263.9209E+00",""
"76","1.000","263.8895E+00",""
"77","1.000","263.8796E+00",""
"78","1.000","263.8730E+00",""
"79","1.000","263.8411E+00",""
"80","1.000","263.8173E+00",""
"81","1.000","263.7708E+00",""
"82","1.000","263.7457E+00",""
"83","1.000","263.7233E+00",""
"84","1.000","263.6959E+00",""
"85","1.000","263.6983E+00",""
"86","1.000","263.6581E+00",""
"87","1.000","263.6474E+00",""
"88","1.000","263.6075E+00",""
"89","1.000","263.5656E+00",""
"90","1.000","263.6369E+00",""
"91","1.000","263.5736E+00",""
"92","1.000","263.5676E+00",""
"93","1.000","263.5894E+00",""
"94","1.000","263.5646E+00",""
"95","1.000","263.5534E+00",""
"96","1.000","263.3010E+00",""
"97","1.000","263.1786E+00",""
"98","1.000","262.9291E+00",""
"99","1.000","262.8243E+00",""
"100","1.000","262.7474E+00",""
"101","1.000","262.6145E+00",""
"102","1.000","262.5037E+00",""
"103","1.000","262.4640E+00",""
"104","1.000","262.4517E+00",""
"105","1.000","262.4203E+00",""
"106","1.000","262.4476E+00",""
"107","1.000","262.3802E+00",""
"108","1.000","262.3610E+00",""
"109","1.000","262.3331E+00",""
"110","1.000","262.3297E+00",""
"111","1.000","262.3094E+00",""
"112","1.000","262.3013E+00",""
"113","1.000","262.2720E+00",""
"114","1.000","262.2120E+00",""
"115","1.000","262.1956E+00",""
"116","1.000","262.2218E+00",""
"117","1.000","262.2392E+00",""
"118","1.000","262.2036E+00",""
"119","1.000","262.1812E+00",""
"120","1.000","262.1415E+00",""
"121","1.000","262.1228E+00",""
"122","1.000","262.1271E+00",""
"123","1.000","261.9195E+00",""
"124","1.000","261.9028E+00",""
"125","1.000","261.8143E+00",""
"126","1.000","261.7669E+00",""
"127","1.000","261.7491E+00",""
"128","1.000","261.7264E+00",""
"129","1.000","261.7178E+00",""
"130","1.000","261.6561E+00",""
"131","1.000","261.6454E+00",""
"132","1.000","261.6236E+00",""
"133","1.000","261.6438E+00",""
"134","1.000","261.5925E+00",""
"135","1.000","261.5718E+00",""
"136","1.000","261.5527E+00",""
"137","1.000","261.5383E+00",""
"138","1.000","261.4910E+00",""
"139","1.000","261.4829E+00",""
"140","1.000","261.4813E+00",""
"141","1.000","261.5037E+00",""
"142","1.000","261.4562E+00",""
"143","1.000","261.4643E+00",""
"144","1.000","261.4592E+00",""
"145","1.000","261.4354E+00",""
"146","1.000","261.3898E+00",""
"147","1.000","261.3710E+00",""
"148","1.000","261.3588E+00",""
"149","1.000","261.3052E+00",""
"150","1.000","261.2719E+00",""
"151","1.000","261.2712E+00",""
"152","1.000","261.2770E+00",""
"153","1.000","261.2312E+00",""
"154","1.000","261.2173E+00",""
"155","1.000","261.2409E+00",""
"156","1.000","261.2009E+00",""
"157","1.000","261.1420E+00",""
"158","1.000","261.1441E+00",""
"159","1.000","261.0903E+00",""
"160","1.000","261.0889E+00",""
"161","1.000","261.0702E+00",""
"162","1.000","261.0599E+00",""
"163","1.000","261.0372E+00",""
"164","1.000","261.0009E+00",""
"165","1.000","260.9804E+00",""
"166","1.000","260.9417E+00",""
"167","1.000","260.8983E+00",""
"168","1.000","260.8689E+00",""
"169","1.000","260.8624E+00",""
"170","1.000","260.8555E+00",""
"171","1.000","260.7753E+00",""
"172","1.000","260.7589E+00",""
"173","1.000","260.7348E+00",""
"174","1.000","260.7382E+00",""
"175","1.000","260.7538E+00",""
"176","1.000","260.7188E+00",""
"177","1.000","260.6877E+00",""
"178","1.000","260.7065E+00",""
"179","1.000","260.7119E+00",""
"180","1.000","260.6785E+00",""
"181","1.000","260.6732E+00",""
"182","1.000","260.6326E+00",""
"183","1.000","260.6340E+00",""
"184","1.000","260.6079E+00",""
"185","1.000","260.6182E+00",""
"186","1.000","260.6212E+00",""
"187","1.000","260.5999E+00",""
"188","1.000","260.5666E+00",""
"189","1.000","260.5771E+00",""
"190","1.000","260.5491E+00",""
"191","1.000","260.5421E+00",""
"192","1.000","260.5225E+00",""
"193","1.000","260.5099E+00",""
"194","1.000","260.5007E+00",""
"195","1.000","260.4977E+00",""
"196","1.000","260.4726E+00",""
"197","1.000","260.4541E+00",""
"198","1.000","260.4463E+00",""
"199","1.000","260.3944E+00",""
"200","1.000","260.3683E+00",""
"201","1.000","260.3495E+00",""
"202","1.000","260.3328E+00",""
"203","1.000","260.3267E+00",""
"204","1.000","260.2974E+00",""
"205","1.000","260.2843E+00",""
"206","1.000","260.2471E+00",""
"207","1.000","260.2362E+00",""
"208","1.000","260.2338E+00",""
"209","1.000","260.2295E+00",""
"210","1.000","260.1609E+00",""
"211","1.000","260.1546E+00",""
"212","1.000","260.0753E+00",""
"213","1.000","260.0685E+00",""
"214","1.000","259.8160E+00",""
"215","1.000","259.7159E+00",""
"216","1.000","259.8544E+00",""
"217","1.000","259.7491E+00",""
"218","1.000","259.6663E+00",""
"219","1.000","259.6326E+00",""
"220","1.000","259.6244E+00",""
"221","1.000","259.6737E+00",""
"222","1.000","259.6696E+00",""
"223","1.000","259.6894E+00",""
"224","1.000","259.6275E+00",""
"225","1.000","259.6373E+00",""
"226","1.000","259.5757E+00",""
"227","1.000","259.5651E+00",""
"228","1.000","259.5502E+00",""
"229","1.000","259.5682E+00",""
"230","1.000","259.5021E+00",""
"231","1.000","259.4880E+00",""
"232","1.000","259.4348E+00",""
"233","1.000","259.4446E+00",""
"234","1.000","259.4159E+00",""
"235","1.000","259.3824E+00",""
"236","1.000","259.4238E+00",""
"237","1.000","259.4295E+00",""
"238","1.000","259.4123E+00",""
"239","1.000","259.4102E+00",""
"240","1.000","259.3555E+00",""
"241","1.000","259.3472E+00",""

