"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","354.9339E+00",""
"2","1.000","354.7397E+00",""
"3","1.000","354.7714E+00",""
"4","1.000","354.6945E+00",""
"5","1.000","354.4774E+00",""
"6","1.000","354.3886E+00",""
"7","1.000","354.3780E+00",""
"8","1.000","354.4333E+00",""
"9","1.000","354.4028E+00",""
"10","1.000","354.4735E+00",""
"11","1.000","354.5060E+00",""
"12","1.000","354.5305E+00",""
"13","1.000","354.5695E+00",""
"14","1.000","354.4947E+00",""
"15","1.000","354.4488E+00",""
"16","1.000","354.5162E+00",""
"17","1.000","354.4493E+00",""
"18","1.000","354.4326E+00",""
"19","1.000","354.4693E+00",""
"20","1.000","354.3909E+00",""
"21","1.000","354.4838E+00",""
"22","1.000","354.4428E+00",""
"23","1.000","354.4056E+00",""
"24","1.000","354.3028E+00",""
"25","1.000","354.3595E+00",""
"26","1.000","354.3385E+00",""
"27","1.000","354.3218E+00",""
"28","1.000","354.2413E+00",""
"29","1.000","354.1453E+00",""
"30","1.000","354.1765E+00",""
"31","1.000","354.3572E+00",""
"32","1.000","354.5406E+00",""
"33","1.000","354.7101E+00",""
"34","1.000","354.8637E+00",""
"35","1.000","354.9648E+00",""
"36","1.000","355.1591E+00",""
"37","1.000","355.2447E+00",""
"38","1.000","355.4057E+00",""
"39","1.000","355.4784E+00",""
"40","1.000","355.6180E+00",""
"41","1.000","355.6638E+00",""
"42","1.000","355.8323E+00",""
"43","1.000","355.9283E+00",""
"44","1.000","355.9585E+00",""
"45","1.000","355.9674E+00",""
"46","1.000","356.0635E+00",""
"47","1.000","356.1779E+00",""
"48","1.000","356.1604E+00",""
"49","1.000","356.3121E+00",""
"50","1.000","356.3321E+00",""
"51","1.000","356.5146E+00",""
"52","1.000","356.5082E+00",""
"53","1.000","356.6530E+00",""
"54","1.000","356.6835E+00",""
"55","1.000","356.8039E+00",""
"56","1.000","356.7968E+00",""
"57","1.000","356.8020E+00",""
"58","1.000","356.6583E+00",""
"59","1.000","356.5900E+00",""
"60","1.000","356.5775E+00",""
"61","1.000","356.5339E+00",""
"62","1.000","356.4535E+00",""
"63","1.000","356.4490E+00",""
"64","1.000","356.5119E+00",""
"65","1.000","356.2375E+00",""
"66","1.000","356.4486E+00",""
"67","1.000","356.3468E+00",""
"68","1.000","356.4076E+00",""
"69","1.000","356.4308E+00",""
"70","1.000","356.2971E+00",""
"71","1.000","356.3516E+00",""
"72","1.000","356.3814E+00",""
"73","1.000","356.2503E+00",""
"74","1.000","356.2902E+00",""
"75","1.000","356.1645E+00",""
"76","1.000","356.2746E+00",""
"77","1.000","356.2071E+00",""
"78","1.000","356.1277E+00",""
"79","1.000","356.1394E+00",""
"80","1.000","356.1594E+00",""
"81","1.000","356.1651E+00",""
"82","1.000","356.1821E+00",""
"83","1.000","356.1347E+00",""
"84","1.000","356.1744E+00",""
"85","1.000","356.1984E+00",""
"86","1.000","356.1812E+00",""
"87","1.000","356.2060E+00",""
"88","1.000","356.1124E+00",""
"89","1.000","356.1022E+00",""
"90","1.000","356.1283E+00",""
"91","1.000","356.1339E+00",""
"92","1.000","356.1250E+00",""
"93","1.000","356.0528E+00",""
"94","1.000","356.0730E+00",""
"95","1.000","356.0599E+00",""
"96","1.000","356.0168E+00",""
"97","1.000","356.0253E+00",""
"98","1.000","356.0676E+00",""
"99","1.000","355.9852E+00",""
"100","1.000","355.9793E+00",""
"101","1.000","355.9671E+00",""
"102","1.000","355.9919E+00",""
"103","1.000","355.9486E+00",""
"104","1.000","355.9117E+00",""
"105","1.000","355.9359E+00",""
"106","1.000","355.9546E+00",""
"107","1.000","355.9081E+00",""
"108","1.000","355.9553E+00",""
"109","1.000","355.8878E+00",""
"110","1.000","355.8844E+00",""
"111","1.000","355.8859E+00",""
"112","1.000","355.8614E+00",""
"113","1.000","355.8811E+00",""
"114","1.000","355.8412E+00",""
"115","1.000","355.8291E+00",""
"116","1.000","355.8409E+00",""
"117","1.000","355.7811E+00",""
"118","1.000","355.8066E+00",""
"119","1.000","355.7910E+00",""
"120","1.000","355.8233E+00",""
"121","1.000","355.8707E+00",""
"122","1.000","355.8916E+00",""
"123","1.000","355.7806E+00",""
"124","1.000","355.7564E+00",""
"125","1.000","355.7073E+00",""
"126","1.000","355.6941E+00",""
"127","1.000","355.7467E+00",""
"128","1.000","355.6705E+00",""
"129","1.000","355.6973E+00",""
"130","1.000","355.6230E+00",""
"131","1.000","355.6182E+00",""
"132","1.000","355.6058E+00",""
"133","1.000","355.6506E+00",""
"134","1.000","355.6568E+00",""
"135","1.000","355.6105E+00",""
"136","1.000","355.5792E+00",""
"137","1.000","355.5781E+00",""
"138","1.000","355.5567E+00",""
"139","1.000","355.5193E+00",""
"140","1.000","355.5138E+00",""
"141","1.000","355.5512E+00",""
"142","1.000","355.4788E+00",""
"143","1.000","355.4611E+00",""
"144","1.000","355.4456E+00",""
"145","1.000","355.4913E+00",""
"146","1.000","355.4911E+00",""
"147","1.000","355.4520E+00",""
"148","1.000","355.4146E+00",""
"149","1.000","355.4244E+00",""
"150","1.000","355.4187E+00",""
"151","1.000","355.4561E+00",""
"152","1.000","355.3878E+00",""
"153","1.000","355.3984E+00",""
"154","1.000","355.4166E+00",""
"155","1.000","355.3977E+00",""
"156","1.000","355.3721E+00",""
"157","1.000","355.3469E+00",""
"158","1.000","355.3747E+00",""
"159","1.000","355.3376E+00",""
"160","1.000","355.3849E+00",""
"161","1.000","355.3362E+00",""
"162","1.000","355.3413E+00",""
"163","1.000","355.3305E+00",""
"164","1.000","355.3325E+00",""
"165","1.000","355.3406E+00",""
"166","1.000","355.3776E+00",""
"167","1.000","355.3642E+00",""
"168","1.000","355.3959E+00",""
"169","1.000","355.4054E+00",""
"170","1.000","355.3515E+00",""
"171","1.000","355.3183E+00",""
"172","1.000","355.3583E+00",""
"173","1.000","355.3486E+00",""
"174","1.000","355.3785E+00",""
"175","1.000","355.3605E+00",""
"176","1.000","355.3660E+00",""
"177","1.000","355.2947E+00",""
"178","1.000","355.3128E+00",""
"179","1.000","355.3321E+00",""
"180","1.000","355.3030E+00",""
"181","1.000","355.3247E+00",""
"182","1.000","355.3246E+00",""
"183","1.000","355.3360E+00",""
"184","1.000","355.3465E+00",""
"185","1.000","355.3854E+00",""
"186","1.000","355.3697E+00",""
"187","1.000","355.3767E+00",""
"188","1.000","355.3304E+00",""
"189","1.000","355.3253E+00",""
"190","1.000","355.3314E+00",""
"191","1.000","355.3109E+00",""
"192","1.000","355.3377E+00",""
"193","1.000","355.3148E+00",""
"194","1.000","355.3606E+00",""
"195","1.000","355.2875E+00",""
"196","1.000","355.2623E+00",""
"197","1.000","355.2638E+00",""
"198","1.000","355.2252E+00",""
"199","1.000","355.2728E+00",""
"200","1.000","355.3104E+00",""
"201","1.000","355.3206E+00",""
"202","1.000","355.2619E+00",""
"203","1.000","355.2566E+00",""
"204","1.000","355.0841E+00",""
"205","1.000","355.0690E+00",""
"206","1.000","355.2280E+00",""
"207","1.000","355.2868E+00",""
"208","1.000","355.2676E+00",""
"209","1.000","355.2830E+00",""
"210","1.000","355.2628E+00",""
"211","1.000","355.3175E+00",""
"212","1.000","355.2564E+00",""
"213","1.000","355.2809E+00",""
"214","1.000","355.2434E+00",""
"215","1.000","355.2952E+00",""
"216","1.000","355.2785E+00",""
"217","1.000","355.2881E+00",""
"218","1.000","355.3046E+00",""
"219","1.000","355.2701E+00",""
"220","1.000","355.2999E+00",""
"221","1.000","355.3174E+00",""
"222","1.000","355.3169E+00",""
"223","1.000","355.2822E+00",""
"224","1.000","355.2781E+00",""
"225","1.000","355.2916E+00",""
"226","1.000","355.3523E+00",""
"227","1.000","355.3170E+00",""
"228","1.000","355.3032E+00",""
"229","1.000","355.3554E+00",""
"230","1.000","355.3304E+00",""
"231","1.000","355.3455E+00",""
"232","1.000","355.3607E+00",""
"233","1.000","355.3482E+00",""
"234","1.000","355.3416E+00",""
"235","1.000","355.3027E+00",""
"236","1.000","355.3007E+00",""
"237","1.000","355.3678E+00",""
"238","1.000","355.3498E+00",""
"239","1.000","355.3160E+00",""
"240","1.000","355.3348E+00",""
"241","1.000","355.3110E+00",""

