"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","667.4777E+00",""
"2","1.000","667.2773E+00",""
"3","1.000","667.3777E+00",""
"4","1.000","667.3139E+00",""
"5","1.000","667.3475E+00",""
"6","1.000","667.1582E+00",""
"7","1.000","667.2199E+00",""
"8","1.000","667.0985E+00",""
"9","1.000","667.1532E+00",""
"10","1.000","667.1390E+00",""
"11","1.000","667.1079E+00",""
"12","1.000","667.1359E+00",""
"13","1.000","667.0652E+00",""
"14","1.000","666.9196E+00",""
"15","1.000","667.1429E+00",""
"16","1.000","666.9911E+00",""
"17","1.000","666.9404E+00",""
"18","1.000","666.9688E+00",""
"19","1.000","667.0282E+00",""
"20","1.000","666.8811E+00",""
"21","1.000","667.1173E+00",""
"22","1.000","666.9737E+00",""
"23","1.000","666.9143E+00",""
"24","1.000","666.8425E+00",""
"25","1.000","666.8331E+00",""
"26","1.000","666.8975E+00",""
"27","1.000","666.8804E+00",""
"28","1.000","666.8327E+00",""
"29","1.000","666.8265E+00",""
"30","1.000","666.8005E+00",""
"31","1.000","666.8277E+00",""
"32","1.000","666.7882E+00",""
"33","1.000","666.7979E+00",""
"34","1.000","666.7580E+00",""
"35","1.000","666.7348E+00",""
"36","1.000","666.7554E+00",""
"37","1.000","666.7251E+00",""
"38","1.000","666.7372E+00",""
"39","1.000","666.7226E+00",""
"40","1.000","666.7372E+00",""
"41","1.000","666.7342E+00",""
"42","1.000","666.7116E+00",""
"43","1.000","666.7460E+00",""
"44","1.000","666.7275E+00",""
"45","1.000","666.6704E+00",""
"46","1.000","666.7234E+00",""
"47","1.000","666.7320E+00",""
"48","1.000","666.6368E+00",""
"49","1.000","666.7106E+00",""
"50","1.000","666.6953E+00",""
"51","1.000","666.6669E+00",""
"52","1.000","666.6457E+00",""
"53","1.000","666.5638E+00",""
"54","1.000","666.6270E+00",""
"55","1.000","666.6616E+00",""
"56","1.000","666.5784E+00",""
"57","1.000","666.6170E+00",""
"58","1.000","666.5802E+00",""
"59","1.000","666.6710E+00",""
"60","1.000","666.7137E+00",""
"61","1.000","666.6954E+00",""
"62","1.000","666.6393E+00",""
"63","1.000","666.6420E+00",""
"64","1.000","666.7383E+00",""
"65","1.000","666.6509E+00",""
"66","1.000","666.6187E+00",""
"67","1.000","666.5763E+00",""
"68","1.000","666.6517E+00",""
"69","1.000","666.5303E+00",""
"70","1.000","666.5469E+00",""
"71","1.000","666.5657E+00",""
"72","1.000","666.5640E+00",""
"73","1.000","666.5923E+00",""
"74","1.000","666.5995E+00",""
"75","1.000","666.5890E+00",""
"76","1.000","666.6342E+00",""
"77","1.000","666.5822E+00",""
"78","1.000","666.5594E+00",""
"79","1.000","666.5426E+00",""
"80","1.000","666.5325E+00",""
"81","1.000","666.5465E+00",""
"82","1.000","666.4561E+00",""
"83","1.000","666.4940E+00",""
"84","1.000","666.4944E+00",""
"85","1.000","666.5024E+00",""
"86","1.000","666.4784E+00",""
"87","1.000","666.4877E+00",""
"88","1.000","666.4706E+00",""
"89","1.000","666.5233E+00",""
"90","1.000","666.4397E+00",""
"91","1.000","666.4419E+00",""
"92","1.000","666.4726E+00",""
"93","1.000","666.4539E+00",""
"94","1.000","666.4388E+00",""
"95","1.000","666.4252E+00",""
"96","1.000","666.4659E+00",""
"97","1.000","666.3912E+00",""
"98","1.000","666.3902E+00",""
"99","1.000","666.4308E+00",""
"100","1.000","666.3960E+00",""
"101","1.000","666.4193E+00",""
"102","1.000","666.3946E+00",""
"103","1.000","666.3704E+00",""
"104","1.000","666.4284E+00",""
"105","1.000","666.4372E+00",""
"106","1.000","666.4259E+00",""
"107","1.000","666.3671E+00",""
"108","1.000","666.3643E+00",""
"109","1.000","666.4088E+00",""
"110","1.000","666.3926E+00",""
"111","1.000","666.4173E+00",""
"112","1.000","666.3847E+00",""
"113","1.000","666.3919E+00",""
"114","1.000","666.3233E+00",""
"115","1.000","666.3403E+00",""
"116","1.000","666.3834E+00",""
"117","1.000","666.3966E+00",""
"118","1.000","666.4230E+00",""
"119","1.000","666.4555E+00",""
"120","1.000","666.4205E+00",""
"121","1.000","666.4001E+00",""
"122","1.000","666.4054E+00",""
"123","1.000","666.3905E+00",""
"124","1.000","666.4027E+00",""
"125","1.000","666.3821E+00",""
"126","1.000","666.3600E+00",""
"127","1.000","666.3077E+00",""
"128","1.000","666.3309E+00",""
"129","1.000","666.3361E+00",""
"130","1.000","666.3208E+00",""
