"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","679.8167E+00",""
"2","1.000","679.7909E+00",""
"3","1.000","679.8036E+00",""
"4","1.000","679.7325E+00",""
"5","1.000","679.7161E+00",""
"6","1.000","679.6426E+00",""
"7","1.000","679.5556E+00",""
"8","1.000","679.6784E+00",""
"9","1.000","679.7003E+00",""
"10","1.000","679.8874E+00",""
"11","1.000","679.6773E+00",""
"12","1.000","679.6796E+00",""
"13","1.000","679.6972E+00",""
"14","1.000","679.6603E+00",""
"15","1.000","679.7213E+00",""
"16","1.000","679.7310E+00",""
"17","1.000","679.7142E+00",""
"18","1.000","679.6772E+00",""
"19","1.000","679.6403E+00",""
"20","1.000","679.5715E+00",""
"21","1.000","679.5589E+00",""
"22","1.000","679.5948E+00",""
"23","1.000","679.6464E+00",""
"24","1.000","679.6207E+00",""
"25","1.000","679.5986E+00",""
"26","1.000","679.5993E+00",""
"27","1.000","679.6125E+00",""
"28","1.000","679.6923E+00",""
"29","1.000","679.6518E+00",""
"30","1.000","679.6093E+00",""
"31","1.000","679.5678E+00",""
"32","1.000","679.6035E+00",""
"33","1.000","679.5714E+00",""
"34","1.000","679.5797E+00",""
"35","1.000","679.6506E+00",""
"36","1.000","679.6281E+00",""
"37","1.000","679.6135E+00",""
"38","1.000","679.6430E+00",""
"39","1.000","679.5923E+00",""
"40","1.000","679.5707E+00",""
"41","1.000","679.5484E+00",""
"42","1.000","679.5415E+00",""
"43","1.000","679.5124E+00",""
"44","1.000","679.5108E+00",""
"45","1.000","679.4178E+00",""
"46","1.000","679.4747E+00",""
"47","1.000","679.4234E+00",""
"48","1.000","679.3789E+00",""
"49","1.000","679.4072E+00",""
"50","1.000","679.4014E+00",""
"51","1.000","679.3837E+00",""
"52","1.000","679.3761E+00",""
"53","1.000","679.3686E+00",""
"54","1.000","679.3321E+00",""
"55","1.000","679.2771E+00",""
"56","1.000","679.2998E+00",""
"57","1.000","679.2667E+00",""
"58","1.000","679.3060E+00",""
"59","1.000","679.2712E+00",""
"60","1.000","679.2481E+00",""
"61","1.000","679.2167E+00",""
"62","1.000","679.2779E+00",""
"63","1.000","679.2787E+00",""
"64","1.000","679.3161E+00",""
"65","1.000","679.3638E+00",""
"66","1.000","679.2837E+00",""
"67","1.000","679.2828E+00",""
"68","1.000","679.2675E+00",""
"69","1.000","679.2268E+00",""
"70","1.000","679.2596E+00",""
"71","1.000","679.2549E+00",""
"72","1.000","679.2304E+00",""
"73","1.000","679.2641E+00",""
"74","1.000","679.2717E+00",""
"75","1.000","679.2627E+00",""
"76","1.000","679.2638E+00",""
"77","1.000","679.2548E+00",""
"78","1.000","679.2382E+00",""
"79","1.000","679.2800E+00",""
"80","1.000","679.2868E+00",""
"81","1.000","679.2107E+00",""
"82","1.000","679.2397E+00",""
"83","1.000","679.2437E+00",""
"84","1.000","679.2318E+00",""
"85","1.000","679.1879E+00",""
"86","1.000","679.2311E+00",""
"87","1.000","679.2485E+00",""
"88","1.000","679.2491E+00",""
"89","1.000","679.2135E+00",""
"90","1.000","679.1938E+00",""
"91","1.000","679.1514E+00",""
"92","1.000","679.2165E+00",""
"93","1.000","679.1250E+00",""
"94","1.000","679.1226E+00",""
"95","1.000","679.1086E+00",""
"96","1.000","679.1141E+00",""
"97","1.000","679.0577E+00",""
"98","1.000","679.1265E+00",""
"99","1.000","679.1972E+00",""
"100","1.000","679.1791E+00",""
"101","1.000","679.1380E+00",""
"102","1.000","679.1384E+00",""
"103","1.000","679.1852E+00",""
"104","1.000","679.1665E+00",""
"105","1.000","679.1875E+00",""
"106","1.000","679.1271E+00",""
"107","1.000","679.0850E+00",""
"108","1.000","679.1573E+00",""
"109","1.000","679.1565E+00",""
"110","1.000","679.1410E+00",""
"111","1.000","679.1716E+00",""
"112","1.000","679.1132E+00",""
"113","1.000","679.0870E+00",""
"114","1.000","679.1353E+00",""
"115","1.000","679.0595E+00",""
"116","1.000","679.0572E+00",""
"117","1.000","679.1338E+00",""
"118","1.000","679.1048E+00",""
"119","1.000","679.0864E+00",""
"120","1.000","679.0896E+00",""
"121","1.000","679.1628E+00",""
"122","1.000","679.1089E+00",""
"123","1.000","679.0805E+00",""
"124","1.000","679.1814E+00",""
"125","1.000","679.1633E+00",""
"126","1.000","679.1987E+00",""
"127","1.000","679.1279E+00",""
"128","1.000","679.0682E+00",""
"129","1.000","679.0706E+00",""
"130","1.000","679.1539E+00",""
"131","1.000","679.1674E+00",""
"132","1.000","679.1518E+00",""
"133","1.000","679.1328E+00",""
"134","1.000","679.1049E+00",""
"135","1.000","679.0979E+00",""
"136","1.000","679.1102E+00",""
"137","1.000","679.0909E+00",""
"138","1.000","679.1358E+00",""
"139","1.000","679.1441E+00",""
"140","1.000","679.0930E+00",""
"141","1.000","679.0990E+00",""
"142","1.000","679.1168E+00",""
"143","1.000","679.0819E+00",""
"144","1.000","679.1204E+00",""
"145","1.000","679.1481E+00",""
"146","1.000","679.0670E+00",""
"147","1.000","679.0657E+00",""
"148","1.000","679.1292E+00",""
"149","1.000","679.0723E+00",""
"150","1.000","679.1052E+00",""
"151","1.000","679.1004E+00",""
"152","1.000","679.0604E+00",""
"153","1.000","679.0054E+00",""
"154","1.000","679.0550E+00",""
"155","1.000","679.0376E+00",""
"156","1.000","679.0260E+00",""
"157","1.000","679.0235E+00",""
"158","1.000","679.0175E+00",""
"159","1.000","678.9827E+00",""
"160","1.000","679.0275E+00",""
"161","1.000","678.9763E+00",""
"162","1.000","679.0248E+00",""
"163","1.000","678.9559E+00",""
"164","1.000","679.0342E+00",""
"165","1.000","679.0388E+00",""
"166","1.000","679.0103E+00",""
"167","1.000","678.9998E+00",""
"168","1.000","678.9560E+00",""
"169","1.000","678.9651E+00",""
"170","1.000","678.9686E+00",""
"171","1.000","679.0046E+00",""
"172","1.000","679.0028E+00",""
"173","1.000","678.9298E+00",""
"174","1.000","678.9506E+00",""
"175","1.000","678.9654E+00",""
"176","1.000","678.9956E+00",""
"177","1.000","678.9614E+00",""
"178","1.000","678.9689E+00",""
"179","1.000","678.9547E+00",""
"180","1.000","678.9703E+00",""
"181","1.000","678.9427E+00",""
"182","1.000","678.9253E+00",""
"183","1.000","678.9728E+00",""
"184","1.000","678.9452E+00",""
"185","1.000","678.8290E+00",""
"186","1.000","678.9001E+00",""
"187","1.000","678.9366E+00",""
"188","1.000","678.9562E+00",""
"189","1.000","678.9404E+00",""
"190","1.000","678.8927E+00",""
"191","1.000","678.8631E+00",""
"192","1.000","678.8690E+00",""
"193","1.000","678.9766E+00",""
"194","1.000","678.9233E+00",""
"195","1.000","678.9595E+00",""
"196","1.000","678.9786E+00",""
"197","1.000","678.7948E+00",""
"198","1.000","678.8331E+00",""
"199","1.000","678.9276E+00",""
"200","1.000","679.4441E+00",""
"201","1.000","678.9748E+00",""
"202","1.000","678.9629E+00",""
"203","1.000","678.9346E+00",""
"204","1.000","678.9537E+00",""
"205","1.000","678.9257E+00",""
"206","1.000","678.9001E+00",""
"207","1.000","678.9313E+00",""
"208","1.000","678.9325E+00",""
"209","1.000","678.8574E+00",""
"210","1.000","678.9571E+00",""
"211","1.000","678.9425E+00",""
"212","1.000","679.0092E+00",""
"213","1.000","679.0195E+00",""
"214","1.000","678.9623E+00",""
"215","1.000","678.9746E+00",""
"216","1.000","679.0089E+00",""
"217","1.000","679.0086E+00",""
"218","1.000","678.9864E+00",""
"219","1.000","678.9447E+00",""
"220","1.000","679.0087E+00",""
"221","1.000","678.9737E+00",""
"222","1.000","678.9504E+00",""
"223","1.000","678.9286E+00",""
"224","1.000","679.0828E+00",""
"225","1.000","679.0438E+00",""
"226","1.000","679.0527E+00",""
"227","1.000","678.9733E+00",""
"228","1.000","679.0271E+00",""
"229","1.000","679.0267E+00",""
"230","1.000","679.0393E+00",""
"231","1.000","678.9809E+00",""
"232","1.000","678.9853E+00",""
"233","1.000","678.9909E+00",""
"234","1.000","678.9579E+00",""
"235","1.000","678.9356E+00",""
"236","1.000","678.9319E+00",""
"237","1.000","678.9694E+00",""
"238","1.000","678.9507E+00",""
"239","1.000","678.9887E+00",""
"240","1.000","678.9200E+00",""
"241","1.000","678.9139E+00",""

