"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","316.3002E+00",""
"2","1.000","316.2748E+00",""
"3","1.000","316.1518E+00",""
"4","1.000","316.0622E+00",""
"5","1.000","316.0574E+00",""
"6","1.000","316.1013E+00",""
"7","1.000","316.0808E+00",""
"8","1.000","315.9945E+00",""
"9","1.000","315.9593E+00",""
"10","1.000","315.9939E+00",""
"11","1.000","315.9365E+00",""
"12","1.000","315.9338E+00",""
"13","1.000","315.8828E+00",""
"14","1.000","315.9572E+00",""
"15","1.000","315.9270E+00",""
"16","1.000","315.9296E+00",""
"17","1.000","315.8629E+00",""
"18","1.000","315.8465E+00",""
"19","1.000","315.8751E+00",""
"20","1.000","315.9098E+00",""
"21","1.000","315.9406E+00",""
"22","1.000","315.9053E+00",""
"23","1.000","315.8997E+00",""
"24","1.000","315.9259E+00",""
"25","1.000","315.9278E+00",""
"26","1.000","315.9561E+00",""
"27","1.000","315.9380E+00",""
"28","1.000","315.8876E+00",""
"29","1.000","315.9183E+00",""
"30","1.000","315.9569E+00",""
"31","1.000","315.9189E+00",""
"32","1.000","315.9292E+00",""
"33","1.000","315.9380E+00",""
"34","1.000","315.9108E+00",""
"35","1.000","315.9247E+00",""
"36","1.000","315.9421E+00",""
"37","1.000","315.8875E+00",""
"38","1.000","315.8414E+00",""
"39","1.000","315.9693E+00",""
"40","1.000","315.9586E+00",""
"41","1.000","315.9468E+00",""
"42","1.000","315.8767E+00",""
"43","1.000","315.8431E+00",""
"44","1.000","315.7836E+00",""
"45","1.000","315.8648E+00",""
"46","1.000","315.8907E+00",""
"47","1.000","315.8909E+00",""
"48","1.000","315.8879E+00",""
"49","1.000","315.8766E+00",""
"50","1.000","315.8956E+00",""
"51","1.000","315.9151E+00",""
"52","1.000","315.9946E+00",""
"53","1.000","316.0162E+00",""
"54","1.000","315.9280E+00",""
"55","1.000","315.9056E+00",""
"56","1.000","315.8182E+00",""
"57","1.000","315.9952E+00",""
"58","1.000","315.9594E+00",""
"59","1.000","315.9236E+00",""
"60","1.000","315.8457E+00",""
"61","1.000","315.8366E+00",""
"62","1.000","315.7826E+00",""
"63","1.000","315.8268E+00",""
"64","1.000","315.8648E+00",""
"65","1.000","315.8714E+00",""
"66","1.000","315.8181E+00",""
"67","1.000","315.8485E+00",""
"68","1.000","315.8231E+00",""
"69","1.000","315.8365E+00",""
"70","1.000","315.9074E+00",""
"71","1.000","315.8891E+00",""
"72","1.000","315.8151E+00",""
"73","1.000","315.7906E+00",""
"74","1.000","315.7623E+00",""
"75","1.000","315.7437E+00",""
"76","1.000","315.7330E+00",""
"77","1.000","315.8241E+00",""
"78","1.000","315.7934E+00",""
"79","1.000","315.7774E+00",""
"80","1.000","315.7376E+00",""
"81","1.000","315.7011E+00",""
"82","1.000","315.6272E+00",""
"83","1.000","315.6558E+00",""
"84","1.000","315.6687E+00",""
"85","1.000","315.6528E+00",""
"86","1.000","315.6587E+00",""
"87","1.000","315.5690E+00",""
"88","1.000","315.6018E+00",""
"89","1.000","315.6449E+00",""
"90","1.000","315.6680E+00",""
"91","1.000","315.6073E+00",""
"92","1.000","315.5675E+00",""
"93","1.000","315.5616E+00",""
"94","1.000","315.5963E+00",""
"95","1.000","315.6089E+00",""
"96","1.000","315.6210E+00",""
"97","1.000","315.6268E+00",""
"98","1.000","315.6172E+00",""
"99","1.000","315.6374E+00",""
"100","1.000","315.6300E+00",""
"101","1.000","315.6625E+00",""
"102","1.000","315.6276E+00",""
"103","1.000","315.6325E+00",""
"104","1.000","315.6014E+00",""
"105","1.000","315.5953E+00",""
"106","1.000","315.5804E+00",""
"107","1.000","315.5981E+00",""
"108","1.000","315.6131E+00",""
"109","1.000","315.6157E+00",""
"110","1.000","315.5784E+00",""
"111","1.000","315.5763E+00",""
"112","1.000","315.5598E+00",""
"113","1.000","315.5459E+00",""
"114","1.000","315.6454E+00",""
"115","1.000","315.6218E+00",""
"116","1.000","315.6329E+00",""
"117","1.000","315.5528E+00",""
"118","1.000","315.5601E+00",""
"119","1.000","315.5602E+00",""
"120","1.000","315.5715E+00",""
"121","1.000","315.6221E+00",""
"122","1.000","315.6252E+00",""
"123","1.000","315.6413E+00",""
"124","1.000","315.6591E+00",""
"125","1.000","315.5711E+00",""
"126","1.000","315.5689E+00",""
"127","1.000","315.5724E+00",""
"128","1.000","315.5905E+00",""
"129","1.000","315.6287E+00",""
"130","1.000","315.5296E+00",""
"131","1.000","315.5135E+00",""
"132","1.000","315.5588E+00",""
"133","1.000","315.5836E+00",""
"134","1.000","315.6403E+00",""
"135","1.000","315.6227E+00",""
"136","1.000","315.4850E+00",""
"137","1.000","315.5373E+00",""
"138","1.000","315.4567E+00",""
"139","1.000","315.5739E+00",""
"140","1.000","315.5469E+00",""
"141","1.000","315.5732E+00",""
"142","1.000","315.6271E+00",""
"143","1.000","315.5066E+00",""
"144","1.000","315.4453E+00",""
"145","1.000","315.5136E+00",""
"146","1.000","315.5692E+00",""
"147","1.000","315.5299E+00",""
"148","1.000","315.4163E+00",""
"149","1.000","315.3973E+00",""
"150","1.000","315.4754E+00",""
"151","1.000","315.5426E+00",""
"152","1.000","315.5979E+00",""
"153","1.000","315.5930E+00",""
"154","1.000","315.5312E+00",""
"155","1.000","315.4923E+00",""
"156","1.000","315.4228E+00",""
"157","1.000","315.5208E+00",""
"158","1.000","315.5300E+00",""
"159","1.000","315.5454E+00",""
"160","1.000","315.5835E+00",""
"161","1.000","315.4841E+00",""
"162","1.000","315.5090E+00",""
"163","1.000","315.4687E+00",""
"164","1.000","315.4893E+00",""
"165","1.000","315.5451E+00",""
"166","1.000","315.5654E+00",""
"167","1.000","315.5094E+00",""
"168","1.000","315.4916E+00",""
"169","1.000","315.5488E+00",""
"170","1.000","315.5410E+00",""
"171","1.000","315.6454E+00",""
"172","1.000","315.6108E+00",""
"173","1.000","315.6813E+00",""
"174","1.000","315.5350E+00",""
"175","1.000","315.5372E+00",""
"176","1.000","315.5349E+00",""
"177","1.000","315.6284E+00",""
"178","1.000","315.7138E+00",""
"179","1.000","315.7397E+00",""
"180","1.000","315.6495E+00",""
"181","1.000","315.7177E+00",""
"182","1.000","315.6936E+00",""
"183","1.000","315.7187E+00",""
"184","1.000","315.7815E+00",""
"185","1.000","315.7412E+00",""
"186","1.000","315.7935E+00",""
"187","1.000","315.7426E+00",""
"188","1.000","315.7342E+00",""
"189","1.000","315.7843E+00",""
"190","1.000","315.7962E+00",""
"191","1.000","315.7604E+00",""
"192","1.000","315.7738E+00",""
"193","1.000","315.6845E+00",""
"194","1.000","315.6920E+00",""
"195","1.000","315.7198E+00",""
"196","1.000","315.7683E+00",""
"197","1.000","315.8007E+00",""
"198","1.000","315.7325E+00",""
"199","1.000","315.7758E+00",""
"200","1.000","315.7639E+00",""
"201","1.000","315.7336E+00",""
"202","1.000","315.7829E+00",""
"203","1.000","315.7639E+00",""
"204","1.000","315.7947E+00",""
"205","1.000","315.7369E+00",""
"206","1.000","315.7237E+00",""
"207","1.000","315.6893E+00",""
"208","1.000","315.7494E+00",""
"209","1.000","315.7014E+00",""
"210","1.000","315.6697E+00",""
"211","1.000","315.7763E+00",""
"212","1.000","315.8803E+00",""
"213","1.000","315.8397E+00",""
"214","1.000","315.8394E+00",""
"215","1.000","315.8435E+00",""
"216","1.000","315.8178E+00",""
"217","1.000","315.9183E+00",""
"218","1.000","315.9645E+00",""
"219","1.000","315.9437E+00",""
"220","1.000","315.9344E+00",""
"221","1.000","315.9272E+00",""
"222","1.000","315.9405E+00",""
"223","1.000","315.9381E+00",""
"224","1.000","315.9463E+00",""
"225","1.000","315.9098E+00",""
"226","1.000","315.9533E+00",""
"227","1.000","315.8840E+00",""
"228","1.000","315.8833E+00",""
"229","1.000","315.8883E+00",""
"230","1.000","315.9470E+00",""
"231","1.000","315.9608E+00",""
"232","1.000","316.0117E+00",""
"233","1.000","315.8962E+00",""
"234","1.000","315.9236E+00",""
"235","1.000","315.9285E+00",""
"236","1.000","315.8909E+00",""
"237","1.000","316.0326E+00",""
"238","1.000","316.0050E+00",""
"239","1.000","316.0507E+00",""
"240","1.000","315.9705E+00",""
"241","1.000","315.9937E+00",""

