"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","318.5762E+00",""
"2","1.000","318.5730E+00",""
"3","1.000","318.3548E+00",""
"4","1.000","318.2908E+00",""
"5","1.000","318.3082E+00",""
"6","1.000","318.2216E+00",""
"7","1.000","318.1660E+00",""
"8","1.000","318.1054E+00",""
"9","1.000","317.9504E+00",""
"10","1.000","318.0229E+00",""
"11","1.000","317.9675E+00",""
"12","1.000","317.9874E+00",""
"13","1.000","317.9662E+00",""
"14","1.000","317.9688E+00",""
"15","1.000","317.8974E+00",""
"16","1.000","317.8679E+00",""
"17","1.000","317.8101E+00",""
"18","1.000","317.7554E+00",""
"19","1.000","317.7210E+00",""
"20","1.000","317.6173E+00",""
"21","1.000","317.5509E+00",""
"22","1.000","317.4542E+00",""
"23","1.000","317.4259E+00",""
"24","1.000","317.3286E+00",""
"25","1.000","317.3526E+00",""
"26","1.000","317.2502E+00",""
"27","1.000","317.2488E+00",""
"28","1.000","317.1945E+00",""
"29","1.000","317.1964E+00",""
"30","1.000","317.1345E+00",""
"31","1.000","317.1113E+00",""
"32","1.000","317.0635E+00",""
"33","1.000","317.0723E+00",""
"34","1.000","317.1276E+00",""
"35","1.000","317.0891E+00",""
"36","1.000","317.0914E+00",""
"37","1.000","317.0884E+00",""
"38","1.000","317.0663E+00",""
"39","1.000","317.0459E+00",""
"40","1.000","317.0445E+00",""
"41","1.000","317.0523E+00",""
"42","1.000","317.0450E+00",""
"43","1.000","317.0367E+00",""
"44","1.000","317.0826E+00",""
"45","1.000","317.0545E+00",""
"46","1.000","317.0927E+00",""
"47","1.000","317.0746E+00",""
"48","1.000","317.0707E+00",""
"49","1.000","317.0672E+00",""
"50","1.000","317.0633E+00",""
"51","1.000","317.0458E+00",""
"52","1.000","317.0737E+00",""
"53","1.000","317.0554E+00",""
"54","1.000","317.0582E+00",""
"55","1.000","317.0982E+00",""
"56","1.000","317.0945E+00",""
"57","1.000","317.1155E+00",""
"58","1.000","317.0856E+00",""
"59","1.000","317.0818E+00",""
"60","1.000","317.1087E+00",""
"61","1.000","317.1174E+00",""
"62","1.000","317.1454E+00",""
"63","1.000","317.1554E+00",""
"64","1.000","317.1569E+00",""
"65","1.000","317.1422E+00",""
"66","1.000","317.1052E+00",""
"67","1.000","317.1468E+00",""
"68","1.000","317.0971E+00",""
"69","1.000","317.0712E+00",""
"70","1.000","317.0698E+00",""
"71","1.000","317.1073E+00",""
"72","1.000","317.0811E+00",""
"73","1.000","317.0812E+00",""
"74","1.000","317.0703E+00",""
"75","1.000","317.0467E+00",""
"76","1.000","317.0800E+00",""
"77","1.000","317.0556E+00",""
"78","1.000","317.0570E+00",""
"79","1.000","317.0475E+00",""
"80","1.000","317.0285E+00",""
"81","1.000","317.0339E+00",""
"82","1.000","317.0006E+00",""
"83","1.000","317.0070E+00",""
"84","1.000","317.0202E+00",""
"85","1.000","316.9990E+00",""
"86","1.000","317.0019E+00",""
"87","1.000","316.9925E+00",""
"88","1.000","317.0088E+00",""
"89","1.000","317.0055E+00",""
"90","1.000","317.0158E+00",""
"91","1.000","317.0628E+00",""
"92","1.000","317.0350E+00",""
"93","1.000","317.0791E+00",""
"94","1.000","317.0449E+00",""
"95","1.000","317.0085E+00",""
"96","1.000","316.9913E+00",""
"97","1.000","316.9994E+00",""
"98","1.000","317.0074E+00",""
"99","1.000","316.9797E+00",""
"100","1.000","317.0102E+00",""
"101","1.000","317.0130E+00",""
"102","1.000","317.0219E+00",""
"103","1.000","317.0274E+00",""
"104","1.000","317.0219E+00",""
"105","1.000","317.0184E+00",""
"106","1.000","317.0064E+00",""
"107","1.000","316.9831E+00",""
"108","1.000","316.9983E+00",""
"109","1.000","316.9848E+00",""
"110","1.000","316.9779E+00",""
"111","1.000","317.0090E+00",""
"112","1.000","316.9935E+00",""
"113","1.000","317.0203E+00",""
"114","1.000","317.0562E+00",""
"115","1.000","317.0571E+00",""
"116","1.000","317.0518E+00",""
"117","1.000","317.0545E+00",""
"118","1.000","317.0104E+00",""
"119","1.000","317.0658E+00",""
"120","1.000","317.0470E+00",""
"121","1.000","317.0734E+00",""
"122","1.000","317.1028E+00",""
"123","1.000","317.1203E+00",""
"124","1.000","317.0888E+00",""
"125","1.000","317.1211E+00",""
"126","1.000","317.0900E+00",""
"127","1.000","317.1105E+00",""
"128","1.000","317.1195E+00",""
"129","1.000","317.0989E+00",""
"130","1.000","317.1068E+00",""
"131","1.000","317.0788E+00",""
"132","1.000","317.0761E+00",""
"133","1.000","317.1266E+00",""
"134","1.000","317.1118E+00",""
"135","1.000","317.1110E+00",""
"136","1.000","317.0855E+00",""
"137","1.000","317.0790E+00",""
"138","1.000","317.1113E+00",""
"139","1.000","317.1274E+00",""
"140","1.000","317.0343E+00",""
"141","1.000","317.0273E+00",""
"142","1.000","317.0607E+00",""
"143","1.000","317.1011E+00",""
"144","1.000","317.0818E+00",""
"145","1.000","317.0469E+00",""
"146","1.000","317.0063E+00",""
"147","1.000","316.9786E+00",""
"148","1.000","317.0358E+00",""
"149","1.000","317.0354E+00",""
"150","1.000","317.0308E+00",""
