"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","359.9730E+00",""
"2","1.000","359.9906E+00",""
"3","1.000","360.0394E+00",""
"4","1.000","360.0468E+00",""
"5","1.000","360.0210E+00",""
"6","1.000","360.0077E+00",""
"7","1.000","360.0681E+00",""
"8","1.000","360.0094E+00",""
"9","1.000","360.0299E+00",""
"10","1.000","360.0116E+00",""
"11","1.000","359.9988E+00",""
"12","1.000","360.0328E+00",""
"13","1.000","360.0403E+00",""
"14","1.000","360.0032E+00",""
"15","1.000","359.9948E+00",""
"16","1.000","360.0074E+00",""
"17","1.000","359.9600E+00",""
"18","1.000","359.9799E+00",""
"19","1.000","359.9953E+00",""
"20","1.000","359.9952E+00",""
"21","1.000","359.9508E+00",""
"22","1.000","359.9732E+00",""
"23","1.000","359.9745E+00",""
"24","1.000","359.9966E+00",""
"25","1.000","359.9626E+00",""
"26","1.000","359.9514E+00",""
"27","1.000","359.9674E+00",""
"28","1.000","359.9457E+00",""
"29","1.000","359.9670E+00",""
"30","1.000","359.9576E+00",""
"31","1.000","359.9773E+00",""
"32","1.000","359.9972E+00",""
"33","1.000","360.0007E+00",""
"34","1.000","359.9821E+00",""
"35","1.000","359.9389E+00",""
"36","1.000","359.9837E+00",""
"37","1.000","359.9513E+00",""
"38","1.000","359.9853E+00",""
"39","1.000","359.9705E+00",""
"40","1.000","360.0320E+00",""
"41","1.000","360.0019E+00",""
"42","1.000","359.9878E+00",""
"43","1.000","360.0173E+00",""
"44","1.000","360.0366E+00",""
"45","1.000","360.0537E+00",""
"46","1.000","360.0499E+00",""
"47","1.000","360.0514E+00",""
"48","1.000","360.0471E+00",""
"49","1.000","360.0667E+00",""
"50","1.000","360.0688E+00",""
"51","1.000","360.0844E+00",""
"52","1.000","360.0506E+00",""
"53","1.000","360.0375E+00",""
"54","1.000","360.0459E+00",""
"55","1.000","360.0862E+00",""
"56","1.000","360.1064E+00",""
"57","1.000","360.1168E+00",""
"58","1.000","360.1359E+00",""
"59","1.000","360.0953E+00",""
"60","1.000","360.0848E+00",""
"61","1.000","360.0851E+00",""
"62","1.000","360.0797E+00",""
"63","1.000","360.0554E+00",""
"64","1.000","360.1135E+00",""
"65","1.000","360.0841E+00",""
"66","1.000","360.0885E+00",""
"67","1.000","360.0637E+00",""
"68","1.000","360.0851E+00",""
"69","1.000","360.0907E+00",""
"70","1.000","360.1106E+00",""
"71","1.000","360.0689E+00",""
"72","1.000","360.0535E+00",""
"73","1.000","360.0194E+00",""
"74","1.000","360.0480E+00",""
"75","1.000","360.0783E+00",""
"76","1.000","360.0898E+00",""
"77","1.000","360.1157E+00",""
"78","1.000","360.0603E+00",""
"79","1.000","360.0475E+00",""
"80","1.000","360.0691E+00",""
"81","1.000","360.1068E+00",""
"82","1.000","360.1088E+00",""
"83","1.000","360.1005E+00",""
"84","1.000","360.0916E+00",""
"85","1.000","360.0647E+00",""
"86","1.000","360.0262E+00",""
"87","1.000","360.0458E+00",""
"88","1.000","360.0273E+00",""
"89","1.000","360.0166E+00",""
"90","1.000","359.9960E+00",""
"91","1.000","360.0064E+00",""
"92","1.000","359.9929E+00",""
"93","1.000","359.9920E+00",""
"94","1.000","359.9882E+00",""
"95","1.000","359.9993E+00",""
"96","1.000","359.9695E+00",""
"97","1.000","359.9430E+00",""
"98","1.000","359.9655E+00",""
"99","1.000","359.9606E+00",""
"100","1.000","359.9348E+00",""
"101","1.000","359.9350E+00",""
"102","1.000","359.9229E+00",""
"103","1.000","359.8917E+00",""
"104","1.000","359.9230E+00",""
"105","1.000","359.8955E+00",""
"106","1.000","359.9287E+00",""
"107","1.000","359.9036E+00",""
"108","1.000","359.8890E+00",""
"109","1.000","359.8799E+00",""
"110","1.000","359.9304E+00",""
"111","1.000","359.9032E+00",""
"112","1.000","359.9304E+00",""
"113","1.000","359.9136E+00",""
"114","1.000","359.9083E+00",""
"115","1.000","359.9153E+00",""
"116","1.000","359.9051E+00",""
"117","1.000","359.8401E+00",""
"118","1.000","359.8214E+00",""
"119","1.000","359.8364E+00",""
"120","1.000","359.8018E+00",""
"121","1.000","359.8348E+00",""
"122","1.000","359.7911E+00",""
"123","1.000","359.7755E+00",""
"124","1.000","359.7699E+00",""
"125","1.000","359.7805E+00",""
"126","1.000","359.7176E+00",""
"127","1.000","359.7577E+00",""
"128","1.000","359.7540E+00",""
"129","1.000","359.7187E+00",""
"130","1.000","359.7380E+00",""
"131","1.000","359.7321E+00",""
"132","1.000","359.7187E+00",""
"133","1.000","359.7540E+00",""
"134","1.000","359.7312E+00",""
"135","1.000","359.7329E+00",""
"136","1.000","359.7317E+00",""
"137","1.000","359.7605E+00",""
"138","1.000","359.7221E+00",""
"139","1.000","359.7454E+00",""
"140","1.000","359.7609E+00",""
"141","1.000","359.7056E+00",""
"142","1.000","359.7247E+00",""
"143","1.000","359.7163E+00",""
"144","1.000","359.6955E+00",""
"145","1.000","359.6750E+00",""
"146","1.000","359.6921E+00",""
"147","1.000","359.7164E+00",""
"148","1.000","359.6971E+00",""
"149","1.000","359.7225E+00",""
"150","1.000","359.6716E+00",""
"151","1.000","359.6548E+00",""
"152","1.000","359.6489E+00",""
"153","1.000","359.6573E+00",""
"154","1.000","359.6655E+00",""
"155","1.000","359.6809E+00",""
"156","1.000","359.6576E+00",""
"157","1.000","359.6476E+00",""
"158","1.000","359.6584E+00",""
"159","1.000","359.6699E+00",""
"160","1.000","359.6592E+00",""
"161","1.000","359.6554E+00",""
"162","1.000","359.6506E+00",""
"163","1.000","359.6222E+00",""
"164","1.000","359.6005E+00",""
"165","1.000","359.6219E+00",""
"166","1.000","359.6379E+00",""
"167","1.000","359.6144E+00",""
"168","1.000","359.5954E+00",""
"169","1.000","359.5653E+00",""
"170","1.000","359.5937E+00",""
"171","1.000","359.5881E+00",""
"172","1.000","359.6051E+00",""
"173","1.000","359.5609E+00",""
"174","1.000","359.5918E+00",""
"175","1.000","359.5927E+00",""
"176","1.000","359.5958E+00",""
"177","1.000","359.5720E+00",""
"178","1.000","359.5651E+00",""
"179","1.000","359.5833E+00",""
"180","1.000","359.5690E+00",""
"181","1.000","359.5892E+00",""
"182","1.000","359.6116E+00",""
"183","1.000","359.6100E+00",""
"184","1.000","359.6131E+00",""
"185","1.000","359.6456E+00",""
"186","1.000","359.6161E+00",""
"187","1.000","359.5787E+00",""
"188","1.000","359.5825E+00",""
"189","1.000","359.5531E+00",""
"190","1.000","359.5685E+00",""
"191","1.000","359.5760E+00",""
