"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","340.6452E+00",""
"2","1.000","340.8210E+00",""
"3","1.000","340.8347E+00",""
"4","1.000","340.7733E+00",""
"5","1.000","340.8036E+00",""
"6","1.000","340.6490E+00",""
"7","1.000","340.7298E+00",""
"8","1.000","340.8107E+00",""
"9","1.000","340.7245E+00",""
"10","1.000","340.7662E+00",""
"11","1.000","340.8044E+00",""
"12","1.000","340.7159E+00",""
"13","1.000","340.7428E+00",""
"14","1.000","340.7746E+00",""
"15","1.000","340.7656E+00",""
"16","1.000","340.7282E+00",""
"17","1.000","340.7497E+00",""
"18","1.000","340.7852E+00",""
"19","1.000","340.6455E+00",""
"20","1.000","340.8282E+00",""
"21","1.000","340.8109E+00",""
"22","1.000","340.7960E+00",""
"23","1.000","340.8237E+00",""
"24","1.000","340.6881E+00",""
"25","1.000","340.7155E+00",""
"26","1.000","340.6496E+00",""
"27","1.000","340.8592E+00",""
"28","1.000","340.8407E+00",""
"29","1.000","340.8856E+00",""
"30","1.000","340.9129E+00",""
"31","1.000","340.7333E+00",""
"32","1.000","340.7717E+00",""
"33","1.000","340.6785E+00",""
"34","1.000","340.8119E+00",""
"35","1.000","340.6014E+00",""
"36","1.000","340.5415E+00",""
"37","1.000","340.5098E+00",""
"38","1.000","340.5282E+00",""
"39","1.000","340.5998E+00",""
"40","1.000","340.6769E+00",""
"41","1.000","340.6696E+00",""
"42","1.000","340.6039E+00",""
"43","1.000","340.5950E+00",""
"44","1.000","340.5796E+00",""
"45","1.000","340.5207E+00",""
"46","1.000","340.6450E+00",""
"47","1.000","340.6672E+00",""
"48","1.000","340.6673E+00",""
"49","1.000","340.6443E+00",""
"50","1.000","340.6722E+00",""
"51","1.000","340.6707E+00",""
"52","1.000","340.5588E+00",""
"53","1.000","340.5464E+00",""
"54","1.000","340.6086E+00",""
"55","1.000","340.5822E+00",""
"56","1.000","340.5585E+00",""
"57","1.000","340.5658E+00",""
"58","1.000","340.7325E+00",""
"59","1.000","340.6829E+00",""
"60","1.000","340.6556E+00",""
"61","1.000","340.6064E+00",""
"62","1.000","340.5282E+00",""
"63","1.000","340.4549E+00",""
"64","1.000","340.4564E+00",""
"65","1.000","340.4903E+00",""
"66","1.000","340.5402E+00",""
"67","1.000","340.5011E+00",""
"68","1.000","340.4772E+00",""
"69","1.000","340.3886E+00",""
"70","1.000","340.4875E+00",""
"71","1.000","340.4283E+00",""
"72","1.000","340.5049E+00",""
"73","1.000","340.5572E+00",""
"74","1.000","340.5128E+00",""
"75","1.000","340.5648E+00",""
"76","1.000","340.5402E+00",""
"77","1.000","340.5391E+00",""
"78","1.000","340.5673E+00",""
"79","1.000","340.6146E+00",""
"80","1.000","340.5578E+00",""
"81","1.000","340.5613E+00",""
"82","1.000","340.6034E+00",""
"83","1.000","340.5581E+00",""
"84","1.000","340.5563E+00",""
"85","1.000","340.5519E+00",""
"86","1.000","340.5438E+00",""
"87","1.000","340.4744E+00",""
"88","1.000","340.5530E+00",""
"89","1.000","340.5553E+00",""
"90","1.000","340.6011E+00",""
"91","1.000","340.5947E+00",""
"92","1.000","340.6814E+00",""
"93","1.000","340.6718E+00",""
"94","1.000","340.6458E+00",""
"95","1.000","340.7074E+00",""
"96","1.000","340.7145E+00",""
"97","1.000","340.7838E+00",""
"98","1.000","340.7327E+00",""
"99","1.000","340.6745E+00",""
"100","1.000","340.7172E+00",""
"101","1.000","340.7213E+00",""
"102","1.000","340.6498E+00",""
"103","1.000","340.7134E+00",""
"104","1.000","340.6817E+00",""
"105","1.000","340.6940E+00",""
"106","1.000","340.6399E+00",""
"107","1.000","340.6166E+00",""
"108","1.000","340.6647E+00",""
"109","1.000","340.6340E+00",""
"110","1.000","340.6468E+00",""
"111","1.000","340.6192E+00",""
"112","1.000","340.6510E+00",""
"113","1.000","340.6604E+00",""
"114","1.000","340.6851E+00",""
"115","1.000","340.6839E+00",""
"116","1.000","340.6896E+00",""
"117","1.000","340.6953E+00",""
"118","1.000","340.6446E+00",""
"119","1.000","340.5714E+00",""
"120","1.000","340.6166E+00",""
"121","1.000","340.6711E+00",""
"122","1.000","340.6912E+00",""
"123","1.000","340.6948E+00",""
"124","1.000","340.6704E+00",""
"125","1.000","340.7213E+00",""
"126","1.000","340.6730E+00",""
"127","1.000","340.7033E+00",""
"128","1.000","340.6434E+00",""
"129","1.000","340.7524E+00",""
"130","1.000","340.7174E+00",""
"131","1.000","340.7448E+00",""
"132","1.000","340.8072E+00",""
"133","1.000","340.7591E+00",""
"134","1.000","340.7399E+00",""
"135","1.000","340.7718E+00",""
"136","1.000","340.7431E+00",""
"137","1.000","340.8275E+00",""
"138","1.000","340.8238E+00",""
"139","1.000","340.8424E+00",""
"140","1.000","340.8595E+00",""
"141","1.000","340.8261E+00",""
"142","1.000","340.8629E+00",""
"143","1.000","340.8631E+00",""
"144","1.000","340.8603E+00",""
"145","1.000","340.8627E+00",""
"146","1.000","340.8640E+00",""
"147","1.000","340.8668E+00",""
"148","1.000","340.9036E+00",""
"149","1.000","340.8856E+00",""
"150","1.000","340.8681E+00",""
"151","1.000","340.8821E+00",""
"152","1.000","340.8994E+00",""
"153","1.000","340.8793E+00",""
"154","1.000","340.8401E+00",""
"155","1.000","340.8421E+00",""
"156","1.000","340.8552E+00",""
"157","1.000","340.8718E+00",""
"158","1.000","340.8945E+00",""
"159","1.000","340.8347E+00",""
"160","1.000","340.8258E+00",""
"161","1.000","340.7484E+00",""
"162","1.000","340.8109E+00",""
"163","1.000","340.7882E+00",""
"164","1.000","340.8384E+00",""
"165","1.000","340.8153E+00",""
"166","1.000","340.8265E+00",""
"167","1.000","340.8328E+00",""
"168","1.000","340.8575E+00",""
"169","1.000","340.8765E+00",""
"170","1.000","340.8296E+00",""
"171","1.000","340.8853E+00",""
"172","1.000","340.8500E+00",""
"173","1.000","340.9038E+00",""
"174","1.000","340.8478E+00",""
"175","1.000","340.8932E+00",""
"176","1.000","340.8524E+00",""
"177","1.000","340.8275E+00",""
"178","1.000","340.9308E+00",""
"179","1.000","340.9282E+00",""
"180","1.000","340.9263E+00",""
