"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","666.4273E+00",""
"2","1.000","666.4288E+00",""
"3","1.000","666.4412E+00",""
"4","1.000","666.4935E+00",""
"5","1.000","666.5324E+00",""
"6","1.000","666.5315E+00",""
"7","1.000","666.5626E+00",""
"8","1.000","666.5255E+00",""
"9","1.000","666.5274E+00",""
"10","1.000","666.4893E+00",""
"11","1.000","666.5229E+00",""
"12","1.000","666.5633E+00",""
"13","1.000","666.5083E+00",""
"14","1.000","666.5411E+00",""
"15","1.000","666.5912E+00",""
"16","1.000","666.5802E+00",""
"17","1.000","666.5930E+00",""
"18","1.000","666.6797E+00",""
"19","1.000","666.5889E+00",""
"20","1.000","666.6464E+00",""
"21","1.000","666.5023E+00",""
"22","1.000","666.5327E+00",""
"23","1.000","666.5207E+00",""
"24","1.000","666.5850E+00",""
"25","1.000","666.5510E+00",""
"26","1.000","666.5497E+00",""
"27","1.000","666.5291E+00",""
"28","1.000","666.5220E+00",""
"29","1.000","666.5749E+00",""
"30","1.000","666.4826E+00",""
"31","1.000","666.4809E+00",""
"32","1.000","666.5207E+00",""
"33","1.000","666.5162E+00",""
"34","1.000","666.5229E+00",""
"35","1.000","666.5444E+00",""
"36","1.000","666.4891E+00",""
"37","1.000","666.6075E+00",""
"38","1.000","666.5430E+00",""
"39","1.000","666.4992E+00",""
"40","1.000","666.5633E+00",""
"41","1.000","666.5137E+00",""
"42","1.000","666.5445E+00",""
"43","1.000","666.5162E+00",""
"44","1.000","666.4879E+00",""
"45","1.000","666.4946E+00",""
"46","1.000","666.4927E+00",""
"47","1.000","666.5168E+00",""
"48","1.000","666.5308E+00",""
"49","1.000","666.6528E+00",""
"50","1.000","666.5098E+00",""
"51","1.000","666.5213E+00",""
"52","1.000","666.5184E+00",""
"53","1.000","666.4286E+00",""
"54","1.000","666.4145E+00",""
"55","1.000","666.4935E+00",""
"56","1.000","666.4570E+00",""
"57","1.000","666.4825E+00",""
"58","1.000","666.4194E+00",""
"59","1.000","666.4105E+00",""
"60","1.000","666.4181E+00",""
"61","1.000","666.4198E+00",""
"62","1.000","666.4268E+00",""
"63","1.000","666.4549E+00",""
"64","1.000","666.4330E+00",""
"65","1.000","666.3915E+00",""
"66","1.000","666.3976E+00",""
"67","1.000","666.3533E+00",""
"68","1.000","666.3469E+00",""
"69","1.000","666.3174E+00",""
"70","1.000","666.5139E+00",""
"71","1.000","666.4095E+00",""
"72","1.000","666.3957E+00",""
"73","1.000","666.3373E+00",""
"74","1.000","666.4174E+00",""
"75","1.000","666.3826E+00",""
"76","1.000","666.4198E+00",""
"77","1.000","666.3787E+00",""
"78","1.000","666.2705E+00",""
"79","1.000","666.3479E+00",""
"80","1.000","666.2716E+00",""
"81","1.000","666.3802E+00",""
"82","1.000","666.3553E+00",""
"83","1.000","666.3437E+00",""
"84","1.000","666.3734E+00",""
"85","1.000","666.4610E+00",""
"86","1.000","666.3711E+00",""
"87","1.000","666.3351E+00",""
"88","1.000","666.3351E+00",""
"89","1.000","666.3769E+00",""
"90","1.000","666.3399E+00",""
"91","1.000","666.3372E+00",""
"92","1.000","666.3438E+00",""
"93","1.000","666.4120E+00",""
"94","1.000","666.3009E+00",""
"95","1.000","666.3881E+00",""
"96","1.000","666.4348E+00",""
"97","1.000","666.3741E+00",""
"98","1.000","666.4511E+00",""
"99","1.000","666.3726E+00",""
"100","1.000","666.3371E+00",""
"101","1.000","666.3500E+00",""
"102","1.000","666.3915E+00",""
"103","1.000","666.4171E+00",""
"104","1.000","666.3612E+00",""
"105","1.000","666.2868E+00",""
"106","1.000","666.3960E+00",""
