"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","472.2003E+00",""
"2","1.000","471.0504E+00",""
"3","1.000","469.7574E+00",""
"4","1.000","468.8806E+00",""
"5","1.000","468.4292E+00",""
"6","1.000","467.7662E+00",""
"7","1.000","466.7128E+00",""
"8","1.000","466.1749E+00",""
"9","1.000","465.7299E+00",""
"10","1.000","465.3276E+00",""
"11","1.000","464.9367E+00",""
"12","1.000","464.6697E+00",""
"13","1.000","464.1452E+00",""
"14","1.000","463.7433E+00",""
"15","1.000","463.4232E+00",""
"16","1.000","463.0967E+00",""
"17","1.000","462.9125E+00",""
"18","1.000","462.5856E+00",""
"19","1.000","462.3427E+00",""
"20","1.000","462.8333E+00",""
"21","1.000","461.8779E+00",""
"22","1.000","461.5576E+00",""
"23","1.000","461.3027E+00",""
"24","1.000","461.0366E+00",""
"25","1.000","460.8714E+00",""
"26","1.000","460.7565E+00",""
"27","1.000","460.6462E+00",""
"28","1.000","460.4625E+00",""
"29","1.000","460.3320E+00",""
"30","1.000","460.1744E+00",""
"31","1.000","460.0471E+00",""
"32","1.000","459.8907E+00",""
"33","1.000","459.5636E+00",""
"34","1.000","459.3399E+00",""
"35","1.000","459.1458E+00",""
"36","1.000","458.8873E+00",""
"37","1.000","458.7801E+00",""
"38","1.000","458.6983E+00",""
"39","1.000","458.5180E+00",""
"40","1.000","458.3698E+00",""
"41","1.000","458.2270E+00",""
"42","1.000","458.1222E+00",""
"43","1.000","458.0756E+00",""
"44","1.000","457.8627E+00",""
"45","1.000","457.8209E+00",""
"46","1.000","457.7627E+00",""
"47","1.000","457.6811E+00",""
"48","1.000","457.5931E+00",""
"49","1.000","457.5537E+00",""
"50","1.000","457.4623E+00",""
"51","1.000","457.4156E+00",""
"52","1.000","457.3762E+00",""
"53","1.000","457.3409E+00",""
"54","1.000","457.2877E+00",""
"55","1.000","457.1810E+00",""
"56","1.000","457.1276E+00",""
"57","1.000","457.1305E+00",""
"58","1.000","457.0720E+00",""
"59","1.000","457.0340E+00",""
"60","1.000","456.9309E+00",""
"61","1.000","456.9498E+00",""
"62","1.000","456.8606E+00",""
"63","1.000","456.7499E+00",""
"64","1.000","456.6680E+00",""
"65","1.000","456.5796E+00",""
"66","1.000","456.5274E+00",""
"67","1.000","456.4325E+00",""
"68","1.000","456.2908E+00",""
"69","1.000","456.2457E+00",""
"70","1.000","456.1302E+00",""
"71","1.000","455.8698E+00",""
"72","1.000","455.7497E+00",""
"73","1.000","455.6539E+00",""
"74","1.000","455.5693E+00",""
"75","1.000","455.4377E+00",""
"76","1.000","455.3900E+00",""
"77","1.000","455.3722E+00",""
"78","1.000","455.2976E+00",""
