"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","313.7252E+00",""
"2","1.000","313.7069E+00",""
"3","1.000","313.6289E+00",""
"4","1.000","313.5883E+00",""
"5","1.000","313.5125E+00",""
"6","1.000","313.4537E+00",""
"7","1.000","313.3774E+00",""
"8","1.000","313.3677E+00",""
"9","1.000","313.3325E+00",""
"10","1.000","313.2900E+00",""
"11","1.000","313.3503E+00",""
"12","1.000","313.2232E+00",""
"13","1.000","313.1518E+00",""
"14","1.000","313.2743E+00",""
"15","1.000","313.2110E+00",""
"16","1.000","313.2895E+00",""
"17","1.000","313.2623E+00",""
"18","1.000","313.2099E+00",""
"19","1.000","313.1699E+00",""
"20","1.000","313.1332E+00",""
"21","1.000","313.1289E+00",""
"22","1.000","313.0871E+00",""
"23","1.000","313.0647E+00",""
"24","1.000","313.0560E+00",""
"25","1.000","313.1445E+00",""
"26","1.000","313.0103E+00",""
"27","1.000","313.0485E+00",""
"28","1.000","313.0194E+00",""
"29","1.000","313.0626E+00",""
"30","1.000","313.1603E+00",""
"31","1.000","312.9898E+00",""
"32","1.000","312.9960E+00",""
"33","1.000","312.9464E+00",""
"34","1.000","312.9364E+00",""
"35","1.000","312.8890E+00",""
"36","1.000","312.9043E+00",""
"37","1.000","312.8925E+00",""
"38","1.000","312.8561E+00",""
"39","1.000","312.8518E+00",""
"40","1.000","312.8442E+00",""
"41","1.000","312.8506E+00",""
"42","1.000","312.9004E+00",""
"43","1.000","312.8290E+00",""
"44","1.000","312.8366E+00",""
"45","1.000","312.8473E+00",""
"46","1.000","312.7887E+00",""
"47","1.000","312.7502E+00",""
"48","1.000","312.7877E+00",""
"49","1.000","312.8275E+00",""
"50","1.000","312.7676E+00",""
"51","1.000","312.7193E+00",""
"52","1.000","312.7481E+00",""
"53","1.000","312.7492E+00",""
"54","1.000","312.7401E+00",""
"55","1.000","312.8249E+00",""
"56","1.000","312.8410E+00",""
"57","1.000","312.8227E+00",""
"58","1.000","312.8255E+00",""
"59","1.000","312.7499E+00",""
"60","1.000","312.8091E+00",""
"61","1.000","312.8379E+00",""
"62","1.000","312.8939E+00",""
"63","1.000","312.9505E+00",""
"64","1.000","312.8461E+00",""
"65","1.000","312.8119E+00",""
"66","1.000","312.8016E+00",""
"67","1.000","312.8766E+00",""
"68","1.000","312.8890E+00",""
"69","1.000","312.8964E+00",""
"70","1.000","312.9339E+00",""
"71","1.000","312.8244E+00",""
"72","1.000","312.7714E+00",""
"73","1.000","312.7756E+00",""
"74","1.000","312.8352E+00",""
"75","1.000","312.8305E+00",""
"76","1.000","312.9079E+00",""
"77","1.000","312.8998E+00",""
"78","1.000","312.7942E+00",""
"79","1.000","312.8368E+00",""
"80","1.000","312.8553E+00",""
"81","1.000","312.8994E+00",""
"82","1.000","312.8990E+00",""
"83","1.000","312.8815E+00",""
"84","1.000","312.9042E+00",""
"85","1.000","312.9544E+00",""
"86","1.000","312.8732E+00",""
"87","1.000","312.9567E+00",""
"88","1.000","313.1029E+00",""
"89","1.000","313.0944E+00",""
"90","1.000","313.1370E+00",""
"91","1.000","313.0526E+00",""
"92","1.000","313.1223E+00",""
"93","1.000","313.1027E+00",""
"94","1.000","313.0601E+00",""
"95","1.000","313.0762E+00",""
"96","1.000","313.2161E+00",""
"97","1.000","313.2055E+00",""
"98","1.000","313.1969E+00",""
"99","1.000","313.3025E+00",""
"100","1.000","313.2091E+00",""
"101","1.000","313.1855E+00",""
"102","1.000","313.2336E+00",""
"103","1.000","313.2696E+00",""
"104","1.000","313.3598E+00",""
"105","1.000","313.3709E+00",""
"106","1.000","313.3820E+00",""
"107","1.000","313.4110E+00",""
"108","1.000","313.4607E+00",""
"109","1.000","313.5074E+00",""
"110","1.000","313.5921E+00",""
"111","1.000","313.6057E+00",""
"112","1.000","313.6207E+00",""
"113","1.000","313.6196E+00",""
"114","1.000","313.6254E+00",""
"115","1.000","313.7219E+00",""
"116","1.000","313.7802E+00",""
"117","1.000","313.8082E+00",""
"118","1.000","313.8771E+00",""
"119","1.000","313.8965E+00",""
"120","1.000","313.9629E+00",""
"121","1.000","313.9465E+00",""
"122","1.000","314.0013E+00",""
"123","1.000","313.9419E+00",""
"124","1.000","313.9448E+00",""
"125","1.000","313.9405E+00",""
"126","1.000","313.9397E+00",""
"127","1.000","314.0113E+00",""
"128","1.000","313.9584E+00",""
"129","1.000","314.0062E+00",""
"130","1.000","314.0191E+00",""
"131","1.000","314.0164E+00",""
"132","1.000","314.0466E+00",""
"133","1.000","314.1615E+00",""
"134","1.000","314.0927E+00",""
"135","1.000","314.1223E+00",""
"136","1.000","314.1123E+00",""
"137","1.000","314.1393E+00",""
"138","1.000","314.1497E+00",""
"139","1.000","314.1736E+00",""
"140","1.000","314.1642E+00",""
"141","1.000","314.2760E+00",""
"142","1.000","314.3583E+00",""
"143","1.000","314.2812E+00",""
"144","1.000","314.2336E+00",""
"145","1.000","314.1992E+00",""
"146","1.000","314.3042E+00",""
"147","1.000","314.2319E+00",""
"148","1.000","314.3131E+00",""
"149","1.000","314.3748E+00",""
"150","1.000","314.3167E+00",""
"151","1.000","314.3748E+00",""
"152","1.000","314.3671E+00",""
"153","1.000","314.4034E+00",""
"154","1.000","314.4580E+00",""
"155","1.000","314.5252E+00",""
"156","1.000","314.5633E+00",""
"157","1.000","314.5870E+00",""
"158","1.000","314.5620E+00",""
"159","1.000","314.5934E+00",""
"160","1.000","314.5906E+00",""
"161","1.000","314.6433E+00",""
"162","1.000","314.6879E+00",""
"163","1.000","314.7336E+00",""
"164","1.000","314.7514E+00",""
"165","1.000","314.7793E+00",""
"166","1.000","314.7051E+00",""
"167","1.000","314.6708E+00",""
"168","1.000","314.7569E+00",""
"169","1.000","314.8007E+00",""
"170","1.000","314.8142E+00",""
"171","1.000","314.8815E+00",""
"172","1.000","314.8649E+00",""
"173","1.000","314.8860E+00",""
"174","1.000","314.9611E+00",""
"175","1.000","314.9844E+00",""
"176","1.000","314.9703E+00",""
"177","1.000","314.9103E+00",""
"178","1.000","314.8610E+00",""
"179","1.000","314.8765E+00",""
"180","1.000","314.9409E+00",""
"181","1.000","314.9512E+00",""
"182","1.000","315.0296E+00",""
"183","1.000","315.0248E+00",""
"184","1.000","315.0898E+00",""
"185","1.000","315.0905E+00",""
"186","1.000","315.0659E+00",""
"187","1.000","315.0403E+00",""
"188","1.000","315.1229E+00",""
"189","1.000","315.1263E+00",""
"190","1.000","315.1314E+00",""
"191","1.000","315.2131E+00",""
"192","1.000","315.1439E+00",""
"193","1.000","315.3111E+00",""
"194","1.000","315.2354E+00",""
"195","1.000","315.2812E+00",""
"196","1.000","315.3268E+00",""
"197","1.000","315.3121E+00",""
"198","1.000","315.3182E+00",""
"199","1.000","315.3185E+00",""
"200","1.000","315.2930E+00",""
"201","1.000","315.2572E+00",""
"202","1.000","315.2975E+00",""
"203","1.000","315.3339E+00",""
"204","1.000","315.3009E+00",""
"205","1.000","315.3028E+00",""
"206","1.000","315.2533E+00",""
"207","1.000","315.3910E+00",""
"208","1.000","315.3834E+00",""
"209","1.000","315.3570E+00",""
"210","1.000","315.3676E+00",""
"211","1.000","315.3445E+00",""
"212","1.000","315.2782E+00",""
"213","1.000","315.2770E+00",""
"214","1.000","315.3179E+00",""
"215","1.000","315.3266E+00",""
"216","1.000","315.3494E+00",""
"217","1.000","315.3471E+00",""
"218","1.000","315.3149E+00",""
