"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","355.5927E+00",""
"2","1.000","355.5704E+00",""
"3","1.000","355.5711E+00",""
"4","1.000","355.5818E+00",""
"5","1.000","355.6204E+00",""
"6","1.000","355.6134E+00",""
"7","1.000","355.6100E+00",""
"8","1.000","355.6317E+00",""
"9","1.000","355.7127E+00",""
"10","1.000","355.6816E+00",""
"11","1.000","355.6528E+00",""
"12","1.000","355.6352E+00",""
"13","1.000","355.6563E+00",""
"14","1.000","355.6871E+00",""
"15","1.000","355.6821E+00",""
"16","1.000","355.6764E+00",""
"17","1.000","355.6964E+00",""
"18","1.000","355.6677E+00",""
"19","1.000","355.6063E+00",""
"20","1.000","355.5397E+00",""
"21","1.000","355.4908E+00",""
"22","1.000","355.4889E+00",""
"23","1.000","355.4855E+00",""
"24","1.000","355.4763E+00",""
"25","1.000","355.4470E+00",""
"26","1.000","355.4207E+00",""
"27","1.000","355.4700E+00",""
"28","1.000","355.4144E+00",""
"29","1.000","355.3965E+00",""
"30","1.000","355.3962E+00",""
"31","1.000","355.3592E+00",""
"32","1.000","355.3921E+00",""
"33","1.000","355.3796E+00",""
"34","1.000","355.3751E+00",""
"35","1.000","355.4321E+00",""
"36","1.000","355.4188E+00",""
"37","1.000","355.3742E+00",""
"38","1.000","355.3847E+00",""
"39","1.000","355.3375E+00",""
"40","1.000","355.3251E+00",""
"41","1.000","355.2792E+00",""
"42","1.000","355.3094E+00",""
"43","1.000","355.2730E+00",""
"44","1.000","355.2315E+00",""
"45","1.000","355.2669E+00",""
"46","1.000","355.3114E+00",""
"47","1.000","355.3224E+00",""
"48","1.000","355.3417E+00",""
"49","1.000","355.3101E+00",""
"50","1.000","355.2536E+00",""
"51","1.000","355.2707E+00",""
"52","1.000","355.2167E+00",""
"53","1.000","355.2098E+00",""
"54","1.000","355.1792E+00",""
"55","1.000","355.2158E+00",""
"56","1.000","355.1939E+00",""
"57","1.000","355.1317E+00",""
"58","1.000","355.1235E+00",""
"59","1.000","355.0666E+00",""
"60","1.000","355.0701E+00",""
"61","1.000","355.0842E+00",""
"62","1.000","355.0810E+00",""
"63","1.000","355.0723E+00",""
"64","1.000","355.0489E+00",""
"65","1.000","355.0735E+00",""
"66","1.000","355.0371E+00",""
"67","1.000","355.0185E+00",""
"68","1.000","354.9902E+00",""
"69","1.000","354.9936E+00",""
"70","1.000","355.0292E+00",""
"71","1.000","355.0496E+00",""
"72","1.000","355.0380E+00",""
"73","1.000","355.0230E+00",""
"74","1.000","354.9594E+00",""
"75","1.000","354.9352E+00",""
"76","1.000","354.8883E+00",""
"77","1.000","354.8569E+00",""
"78","1.000","354.8790E+00",""
"79","1.000","354.7485E+00",""
"80","1.000","354.7001E+00",""
"81","1.000","354.6218E+00",""
"82","1.000","354.5307E+00",""
"83","1.000","354.5959E+00",""
"84","1.000","354.5206E+00",""
"85","1.000","354.4492E+00",""
"86","1.000","354.4730E+00",""
"87","1.000","354.3735E+00",""
"88","1.000","354.3213E+00",""
"89","1.000","354.2638E+00",""
"90","1.000","354.2408E+00",""
"91","1.000","354.1610E+00",""
"92","1.000","354.1673E+00",""
"93","1.000","354.1837E+00",""
"94","1.000","354.0974E+00",""
"95","1.000","354.0855E+00",""
"96","1.000","354.0509E+00",""
"97","1.000","354.0003E+00",""
"98","1.000","353.8475E+00",""
"99","1.000","353.7382E+00",""
"100","1.000","353.6788E+00",""
"101","1.000","353.7354E+00",""
"102","1.000","353.6629E+00",""
"103","1.000","353.6018E+00",""
"104","1.000","353.5534E+00",""
"105","1.000","353.5615E+00",""
"106","1.000","353.5024E+00",""
"107","1.000","353.4616E+00",""
"108","1.000","353.4580E+00",""
"109","1.000","353.4853E+00",""
"110","1.000","353.3818E+00",""
"111","1.000","353.3625E+00",""
"112","1.000","353.3000E+00",""
"113","1.000","353.3380E+00",""
"114","1.000","353.2530E+00",""
"115","1.000","353.3107E+00",""
"116","1.000","353.2735E+00",""
"117","1.000","353.2137E+00",""
"118","1.000","353.1848E+00",""
"119","1.000","353.1468E+00",""
"120","1.000","353.1041E+00",""
"121","1.000","353.1181E+00",""
"122","1.000","353.0788E+00",""
"123","1.000","353.1010E+00",""
"124","1.000","353.0277E+00",""
"125","1.000","353.0776E+00",""
"126","1.000","353.0562E+00",""
"127","1.000","352.9310E+00",""
"128","1.000","352.9559E+00",""
"129","1.000","352.9339E+00",""
"130","1.000","352.9700E+00",""
"131","1.000","352.9439E+00",""
"132","1.000","352.9546E+00",""
"133","1.000","352.9474E+00",""
"134","1.000","352.9284E+00",""
"135","1.000","352.9162E+00",""
"136","1.000","352.8558E+00",""
"137","1.000","352.8679E+00",""
"138","1.000","352.9174E+00",""
"139","1.000","352.8625E+00",""
"140","1.000","352.8519E+00",""
"141","1.000","352.8242E+00",""
"142","1.000","352.8407E+00",""
"143","1.000","352.8648E+00",""
"144","1.000","352.8629E+00",""
"145","1.000","352.8486E+00",""
"146","1.000","352.8079E+00",""
"147","1.000","352.8243E+00",""
"148","1.000","352.7723E+00",""
"149","1.000","352.8003E+00",""
"150","1.000","352.7576E+00",""
"151","1.000","352.7528E+00",""
"152","1.000","352.7339E+00",""
"153","1.000","352.7385E+00",""
"154","1.000","352.7618E+00",""
"155","1.000","352.7371E+00",""
"156","1.000","352.7219E+00",""
"157","1.000","352.7410E+00",""
"158","1.000","352.7229E+00",""
"159","1.000","352.7038E+00",""
"160","1.000","352.6512E+00",""
"161","1.000","352.6651E+00",""
"162","1.000","352.6294E+00",""
"163","1.000","352.6228E+00",""
"164","1.000","352.5848E+00",""
"165","1.000","352.6045E+00",""
"166","1.000","352.6119E+00",""
"167","1.000","352.5887E+00",""
"168","1.000","352.5280E+00",""
"169","1.000","352.5824E+00",""
"170","1.000","352.5565E+00",""
"171","1.000","352.5481E+00",""
"172","1.000","352.5663E+00",""
"173","1.000","352.5668E+00",""
"174","1.000","352.5455E+00",""
"175","1.000","352.5600E+00",""
"176","1.000","352.5608E+00",""
"177","1.000","352.5580E+00",""
"178","1.000","352.5495E+00",""
"179","1.000","352.5761E+00",""
"180","1.000","352.5371E+00",""
"181","1.000","352.5319E+00",""
"182","1.000","352.5388E+00",""
"183","1.000","352.5454E+00",""
"184","1.000","352.4970E+00",""
"185","1.000","352.4896E+00",""
