"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","323.6874E+00",""
"2","1.000","323.5849E+00",""
"3","1.000","323.5822E+00",""
"4","1.000","323.4414E+00",""
"5","1.000","323.4176E+00",""
"6","1.000","323.3587E+00",""
"7","1.000","323.2029E+00",""
"8","1.000","323.0220E+00",""
"9","1.000","322.9004E+00",""
"10","1.000","322.7333E+00",""
"11","1.000","322.6504E+00",""
"12","1.000","322.6300E+00",""
"13","1.000","322.5733E+00",""
"14","1.000","322.5031E+00",""
"15","1.000","322.4528E+00",""
"16","1.000","322.3665E+00",""
"17","1.000","322.3517E+00",""
"18","1.000","322.3388E+00",""
"19","1.000","322.2822E+00",""
"20","1.000","322.2372E+00",""
"21","1.000","322.1875E+00",""
"22","1.000","322.1844E+00",""
"23","1.000","322.2154E+00",""
"24","1.000","322.2182E+00",""
"25","1.000","322.1656E+00",""
"26","1.000","322.1675E+00",""
"27","1.000","322.2093E+00",""
"28","1.000","322.2027E+00",""
"29","1.000","322.2025E+00",""
"30","1.000","322.1536E+00",""
"31","1.000","322.1462E+00",""
"32","1.000","322.1346E+00",""
"33","1.000","322.1106E+00",""
"34","1.000","322.1030E+00",""
"35","1.000","322.1289E+00",""
"36","1.000","322.1002E+00",""
"37","1.000","322.0602E+00",""
"38","1.000","322.0691E+00",""
"39","1.000","322.0289E+00",""
"40","1.000","322.0265E+00",""
"41","1.000","322.0492E+00",""
"42","1.000","322.1188E+00",""
"43","1.000","322.0745E+00",""
"44","1.000","322.0973E+00",""
"45","1.000","322.0513E+00",""
"46","1.000","322.0568E+00",""
"47","1.000","322.0502E+00",""
"48","1.000","322.0693E+00",""
"49","1.000","322.1036E+00",""
"50","1.000","322.0226E+00",""
"51","1.000","322.0085E+00",""
"52","1.000","322.0451E+00",""
"53","1.000","321.9943E+00",""
"54","1.000","321.9965E+00",""
"55","1.000","322.0177E+00",""
"56","1.000","322.0292E+00",""
"57","1.000","321.9977E+00",""
"58","1.000","322.0265E+00",""
"59","1.000","321.9927E+00",""
"60","1.000","322.0028E+00",""
"61","1.000","321.9764E+00",""
"62","1.000","321.9760E+00",""
"63","1.000","321.9740E+00",""
"64","1.000","321.9883E+00",""
"65","1.000","321.9863E+00",""
"66","1.000","321.9546E+00",""
"67","1.000","321.9326E+00",""
"68","1.000","321.9279E+00",""
"69","1.000","321.9158E+00",""
"70","1.000","321.9415E+00",""
"71","1.000","321.9574E+00",""
"72","1.000","321.9622E+00",""
"73","1.000","321.9684E+00",""
"74","1.000","321.8967E+00",""
"75","1.000","321.9144E+00",""
"76","1.000","321.8759E+00",""
"77","1.000","321.8599E+00",""
"78","1.000","321.8487E+00",""
"79","1.000","321.8205E+00",""
"80","1.000","321.8542E+00",""
"81","1.000","321.8458E+00",""
"82","1.000","321.7933E+00",""
"83","1.000","321.8648E+00",""
"84","1.000","321.8401E+00",""
"85","1.000","321.8556E+00",""
"86","1.000","321.8138E+00",""
"87","1.000","321.8009E+00",""
"88","1.000","321.7868E+00",""
"89","1.000","321.8027E+00",""
"90","1.000","321.7746E+00",""
"91","1.000","321.7707E+00",""
"92","1.000","321.8109E+00",""
"93","1.000","321.7896E+00",""
"94","1.000","321.7684E+00",""
"95","1.000","321.7566E+00",""
"96","1.000","321.7820E+00",""
