"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","657.5479E+00",""
"2","1.000","657.5497E+00",""
"3","1.000","657.5370E+00",""
"4","1.000","657.4879E+00",""
"5","1.000","657.4347E+00",""
"6","1.000","657.4321E+00",""
"7","1.000","657.4190E+00",""
"8","1.000","657.4179E+00",""
"9","1.000","657.3712E+00",""
"10","1.000","657.3881E+00",""
"11","1.000","657.3193E+00",""
"12","1.000","657.3852E+00",""
"13","1.000","657.3978E+00",""
"14","1.000","657.3749E+00",""
"15","1.000","657.4561E+00",""
"16","1.000","657.3051E+00",""
"17","1.000","657.3966E+00",""
"18","1.000","657.3514E+00",""
"19","1.000","657.3445E+00",""
"20","1.000","657.2792E+00",""
"21","1.000","657.2785E+00",""
"22","1.000","657.2990E+00",""
"23","1.000","657.2938E+00",""
"24","1.000","657.2554E+00",""
"25","1.000","657.2754E+00",""
"26","1.000","657.3024E+00",""
"27","1.000","657.2726E+00",""
"28","1.000","657.2554E+00",""
"29","1.000","657.2129E+00",""
"30","1.000","657.2051E+00",""
"31","1.000","657.1899E+00",""
"32","1.000","657.1776E+00",""
"33","1.000","657.1932E+00",""
"34","1.000","657.1954E+00",""
"35","1.000","657.1586E+00",""
"36","1.000","657.1504E+00",""
"37","1.000","657.1620E+00",""
"38","1.000","657.1814E+00",""
"39","1.000","657.2124E+00",""
"40","1.000","657.1718E+00",""
"41","1.000","657.1261E+00",""
"42","1.000","657.0729E+00",""
"43","1.000","657.1242E+00",""
"44","1.000","657.0551E+00",""
"45","1.000","657.1293E+00",""
"46","1.000","657.1221E+00",""
"47","1.000","657.1097E+00",""
"48","1.000","657.1276E+00",""
"49","1.000","657.1501E+00",""
"50","1.000","657.0671E+00",""
"51","1.000","657.1497E+00",""
"52","1.000","657.0865E+00",""
"53","1.000","657.0932E+00",""
"54","1.000","657.1121E+00",""
"55","1.000","657.3161E+00",""
"56","1.000","657.3526E+00",""
"57","1.000","657.0219E+00",""
"58","1.000","657.0633E+00",""
"59","1.000","657.0873E+00",""
"60","1.000","657.0601E+00",""
"61","1.000","657.1190E+00",""
"62","1.000","657.0553E+00",""
"63","1.000","656.9791E+00",""
"64","1.000","657.0856E+00",""
"65","1.000","657.0291E+00",""
"66","1.000","657.0821E+00",""
"67","1.000","657.0653E+00",""
"68","1.000","657.1096E+00",""
"69","1.000","657.0862E+00",""
"70","1.000","657.0036E+00",""
"71","1.000","656.9998E+00",""
"72","1.000","657.0183E+00",""
"73","1.000","657.1556E+00",""
"74","1.000","657.2053E+00",""
"75","1.000","657.2213E+00",""
"76","1.000","657.2448E+00",""
"77","1.000","657.0739E+00",""
"78","1.000","657.1264E+00",""
"79","1.000","657.1392E+00",""
"80","1.000","657.1544E+00",""
"81","1.000","657.1127E+00",""
"82","1.000","657.1307E+00",""
"83","1.000","657.1306E+00",""
"84","1.000","657.1417E+00",""
"85","1.000","657.1203E+00",""
"86","1.000","657.0530E+00",""
"87","1.000","657.0811E+00",""
"88","1.000","657.0566E+00",""
"89","1.000","657.0656E+00",""
"90","1.000","657.0507E+00",""
"91","1.000","657.0332E+00",""
"92","1.000","656.9619E+00",""
"93","1.000","657.0089E+00",""
"94","1.000","657.0184E+00",""
"95","1.000","656.9427E+00",""
"96","1.000","656.9733E+00",""
"97","1.000","656.9988E+00",""
"98","1.000","656.9970E+00",""
"99","1.000","656.9519E+00",""
"100","1.000","657.0040E+00",""
"101","1.000","656.9998E+00",""
"102","1.000","657.0047E+00",""
"103","1.000","656.9635E+00",""
"104","1.000","656.9873E+00",""
"105","1.000","656.9607E+00",""
"106","1.000","656.9184E+00",""
"107","1.000","656.9570E+00",""
"108","1.000","656.9222E+00",""
"109","1.000","656.8930E+00",""
"110","1.000","656.8515E+00",""
"111","1.000","656.8741E+00",""
"112","1.000","656.8456E+00",""
"113","1.000","656.8502E+00",""
"114","1.000","656.8232E+00",""
"115","1.000","656.8364E+00",""
"116","1.000","656.8515E+00",""
"117","1.000","656.8156E+00",""
"118","1.000","656.8305E+00",""
"119","1.000","656.7339E+00",""
"120","1.000","656.7866E+00",""
"121","1.000","656.7764E+00",""
"122","1.000","656.7855E+00",""
"123","1.000","656.8146E+00",""
"124","1.000","656.7622E+00",""
"125","1.000","656.7812E+00",""
"126","1.000","656.7606E+00",""
"127","1.000","656.8045E+00",""
"128","1.000","656.7761E+00",""
"129","1.000","656.8195E+00",""
"130","1.000","656.8372E+00",""
"131","1.000","656.7949E+00",""
"132","1.000","656.7952E+00",""
"133","1.000","657.0085E+00",""
"134","1.000","656.7879E+00",""
"135","1.000","656.7922E+00",""
"136","1.000","656.7372E+00",""
"137","1.000","656.7757E+00",""
"138","1.000","656.6426E+00",""
"139","1.000","656.6668E+00",""
"140","1.000","656.6714E+00",""
"141","1.000","656.6345E+00",""
"142","1.000","656.6073E+00",""
"143","1.000","656.6238E+00",""
"144","1.000","656.6529E+00",""
"145","1.000","656.6398E+00",""
"146","1.000","656.6152E+00",""
"147","1.000","656.6378E+00",""
"148","1.000","656.6256E+00",""
"149","1.000","656.6313E+00",""
"150","1.000","656.6032E+00",""
"151","1.000","656.6407E+00",""
"152","1.000","656.5881E+00",""
"153","1.000","656.6006E+00",""
"154","1.000","656.5763E+00",""
"155","1.000","656.5785E+00",""
"156","1.000","656.6281E+00",""
"157","1.000","656.6249E+00",""
"158","1.000","656.6122E+00",""
"159","1.000","656.6185E+00",""
"160","1.000","656.6019E+00",""
"161","1.000","656.5806E+00",""
"162","1.000","656.6061E+00",""
"163","1.000","656.6250E+00",""
"164","1.000","656.6388E+00",""
"165","1.000","656.6187E+00",""
"166","1.000","656.6445E+00",""
"167","1.000","656.6322E+00",""
"168","1.000","656.6505E+00",""
"169","1.000","656.6008E+00",""
"170","1.000","656.6155E+00",""
"171","1.000","656.5978E+00",""
"172","1.000","656.5890E+00",""
"173","1.000","656.5391E+00",""
"174","1.000","656.5780E+00",""
"175","1.000","656.5515E+00",""
"176","1.000","656.5447E+00",""
"177","1.000","656.5463E+00",""
"178","1.000","656.5088E+00",""
"179","1.000","656.5241E+00",""
"180","1.000","656.4479E+00",""
"181","1.000","656.4694E+00",""
"182","1.000","656.5036E+00",""
"183","1.000","656.4870E+00",""
"184","1.000","656.4611E+00",""
"185","1.000","656.4898E+00",""
"186","1.000","656.4913E+00",""
"187","1.000","656.4996E+00",""
"188","1.000","656.5307E+00",""
"189","1.000","656.5063E+00",""
"190","1.000","656.5184E+00",""
"191","1.000","656.5876E+00",""
"192","1.000","656.4781E+00",""
"193","1.000","656.5108E+00",""
"194","1.000","656.4661E+00",""
"195","1.000","656.4989E+00",""
"196","1.000","656.5211E+00",""
"197","1.000","656.4835E+00",""
"198","1.000","656.4285E+00",""
"199","1.000","656.4628E+00",""
"200","1.000","656.4337E+00",""
"201","1.000","656.4485E+00",""
"202","1.000","656.4315E+00",""
"203","1.000","656.4539E+00",""
"204","1.000","656.4421E+00",""
"205","1.000","656.4575E+00",""
"206","1.000","656.4542E+00",""
"207","1.000","656.4021E+00",""
"208","1.000","656.3980E+00",""
"209","1.000","656.4329E+00",""
"210","1.000","656.4322E+00",""
"211","1.000","656.4693E+00",""
"212","1.000","656.4563E+00",""
"213","1.000","656.4634E+00",""
"214","1.000","656.4020E+00",""
"215","1.000","656.3965E+00",""
"216","1.000","656.4500E+00",""
"217","1.000","656.4516E+00",""
"218","1.000","656.4106E+00",""
"219","1.000","656.3793E+00",""
"220","1.000","656.4115E+00",""
"221","1.000","656.3962E+00",""
"222","1.000","656.6037E+00",""
"223","1.000","656.4627E+00",""
"224","1.000","656.4506E+00",""
"225","1.000","656.4406E+00",""
"226","1.000","656.4453E+00",""
"227","1.000","656.2477E+00",""
"228","1.000","656.6198E+00",""
"229","1.000","656.3638E+00",""
"230","1.000","656.4236E+00",""
"231","1.000","656.4169E+00",""
"232","1.000","656.4272E+00",""
"233","1.000","656.4217E+00",""
"234","1.000","656.3918E+00",""
"235","1.000","656.3832E+00",""
"236","1.000","656.3305E+00",""
"237","1.000","656.3467E+00",""
"238","1.000","656.4175E+00",""
"239","1.000","656.4174E+00",""
"240","1.000","656.3621E+00",""
"241","1.000","656.3714E+00",""

