"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","680.0947E+00",""
"2","1.000","680.1071E+00",""
"3","1.000","680.3557E+00",""
"4","1.000","680.1746E+00",""
"5","1.000","680.1528E+00",""
"6","1.000","680.1141E+00",""
"7","1.000","680.1974E+00",""
"8","1.000","680.1883E+00",""
"9","1.000","680.2922E+00",""
"10","1.000","680.4646E+00",""
"11","1.000","680.1940E+00",""
"12","1.000","680.1242E+00",""
"13","1.000","680.2059E+00",""
"14","1.000","680.2059E+00",""
"15","1.000","680.2457E+00",""
"16","1.000","680.2306E+00",""
"17","1.000","680.2292E+00",""
"18","1.000","680.1889E+00",""
"19","1.000","680.2856E+00",""
"20","1.000","680.1809E+00",""
"21","1.000","680.1975E+00",""
"22","1.000","680.2531E+00",""
"23","1.000","680.1946E+00",""
"24","1.000","680.1973E+00",""
"25","1.000","680.1867E+00",""
"26","1.000","680.1995E+00",""
"27","1.000","680.1779E+00",""
"28","1.000","680.2345E+00",""
"29","1.000","680.1114E+00",""
"30","1.000","680.1912E+00",""
"31","1.000","680.1973E+00",""
"32","1.000","680.1568E+00",""
"33","1.000","680.1969E+00",""
"34","1.000","680.1679E+00",""
"35","1.000","680.2679E+00",""
"36","1.000","680.1448E+00",""
"37","1.000","680.2129E+00",""
"38","1.000","680.1345E+00",""
"39","1.000","679.9651E+00",""
"40","1.000","680.0478E+00",""
"41","1.000","680.1655E+00",""
"42","1.000","680.3757E+00",""
"43","1.000","680.3525E+00",""
"44","1.000","680.1493E+00",""
"45","1.000","680.1812E+00",""
"46","1.000","680.1244E+00",""
"47","1.000","680.1893E+00",""
"48","1.000","680.0327E+00",""
"49","1.000","679.9909E+00",""
"50","1.000","680.0710E+00",""
"51","1.000","680.1805E+00",""
"52","1.000","680.1305E+00",""
"53","1.000","680.0825E+00",""
"54","1.000","679.9648E+00",""
"55","1.000","680.0392E+00",""
"56","1.000","680.0513E+00",""
"57","1.000","679.9280E+00",""
"58","1.000","680.0526E+00",""
"59","1.000","680.0213E+00",""
"60","1.000","680.0647E+00",""
"61","1.000","679.9704E+00",""
"62","1.000","680.0290E+00",""
"63","1.000","679.9912E+00",""
"64","1.000","680.0969E+00",""
"65","1.000","680.0549E+00",""
"66","1.000","680.0195E+00",""
"67","1.000","680.0465E+00",""
"68","1.000","679.9255E+00",""
"69","1.000","679.9222E+00",""
"70","1.000","679.9243E+00",""
"71","1.000","680.0707E+00",""
"72","1.000","679.7877E+00",""
"73","1.000","679.9695E+00",""
"74","1.000","679.9382E+00",""
"75","1.000","679.9384E+00",""
"76","1.000","679.8530E+00",""
"77","1.000","679.9151E+00",""
"78","1.000","679.8521E+00",""
"79","1.000","679.8808E+00",""
"80","1.000","679.9326E+00",""
"81","1.000","679.9834E+00",""
"82","1.000","679.9721E+00",""
"83","1.000","679.8898E+00",""
"84","1.000","679.9336E+00",""
"85","1.000","679.9805E+00",""
"86","1.000","679.9633E+00",""
"87","1.000","679.9136E+00",""
"88","1.000","679.9901E+00",""
"89","1.000","679.9380E+00",""
"90","1.000","679.9798E+00",""
"91","1.000","679.9682E+00",""
"92","1.000","679.9093E+00",""
"93","1.000","679.7613E+00",""
"94","1.000","680.0845E+00",""
"95","1.000","679.8865E+00",""
"96","1.000","680.0179E+00",""
"97","1.000","679.8861E+00",""
"98","1.000","679.8796E+00",""
"99","1.000","679.7564E+00",""
"100","1.000","679.7737E+00",""
