"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","324.3859E+00",""
"2","1.000","324.2428E+00",""
"3","1.000","324.1106E+00",""
"4","1.000","323.9961E+00",""
"5","1.000","323.8896E+00",""
"6","1.000","323.7421E+00",""
"7","1.000","323.5822E+00",""
"8","1.000","323.5074E+00",""
"9","1.000","323.2617E+00",""
"10","1.000","323.2503E+00",""
"11","1.000","323.1066E+00",""
"12","1.000","322.9485E+00",""
"13","1.000","322.7955E+00",""
"14","1.000","322.5863E+00",""
"15","1.000","322.6293E+00",""
"16","1.000","322.5031E+00",""
"17","1.000","322.4930E+00",""
"18","1.000","322.1508E+00",""
"19","1.000","322.0273E+00",""
"20","1.000","321.8664E+00",""
"21","1.000","321.8478E+00",""
"22","1.000","321.8637E+00",""
"23","1.000","321.6771E+00",""
"24","1.000","321.5218E+00",""
"25","1.000","321.4957E+00",""
"26","1.000","321.4122E+00",""
"27","1.000","321.3827E+00",""
"28","1.000","321.4326E+00",""
"29","1.000","321.0742E+00",""
"30","1.000","320.9957E+00",""
"31","1.000","320.8983E+00",""
"32","1.000","320.7453E+00",""
"33","1.000","320.5927E+00",""
"34","1.000","320.3822E+00",""
"35","1.000","320.3465E+00",""
"36","1.000","320.1850E+00",""
"37","1.000","320.0813E+00",""
"38","1.000","319.9851E+00",""
"39","1.000","319.8894E+00",""
"40","1.000","319.5769E+00",""
"41","1.000","319.5251E+00",""
"42","1.000","319.4658E+00",""
"43","1.000","319.3461E+00",""
"44","1.000","319.3812E+00",""
"45","1.000","319.2454E+00",""
"46","1.000","319.1419E+00",""
"47","1.000","319.0006E+00",""
"48","1.000","318.9956E+00",""
"49","1.000","318.9829E+00",""
"50","1.000","318.8485E+00",""
"51","1.000","318.8486E+00",""
"52","1.000","318.5630E+00",""
"53","1.000","318.4767E+00",""
"54","1.000","318.4140E+00",""
"55","1.000","318.3163E+00",""
"56","1.000","318.2520E+00",""
"57","1.000","318.1412E+00",""
"58","1.000","318.1344E+00",""
"59","1.000","318.0808E+00",""
"60","1.000","318.0406E+00",""
"61","1.000","318.0665E+00",""
"62","1.000","317.9498E+00",""
"63","1.000","317.9400E+00",""
"64","1.000","317.8640E+00",""
"65","1.000","317.8031E+00",""
"66","1.000","317.8630E+00",""
"67","1.000","317.7462E+00",""
"68","1.000","317.7581E+00",""
"69","1.000","317.6731E+00",""
"70","1.000","317.5023E+00",""
"71","1.000","317.4098E+00",""
"72","1.000","317.2435E+00",""
"73","1.000","317.3273E+00",""
"74","1.000","317.2434E+00",""
"75","1.000","317.2989E+00",""
"76","1.000","317.1601E+00",""
"77","1.000","317.0856E+00",""
"78","1.000","317.0219E+00",""
"79","1.000","316.9990E+00",""
"80","1.000","316.9821E+00",""
"81","1.000","316.9636E+00",""
"82","1.000","316.9169E+00",""
"83","1.000","316.8868E+00",""
"84","1.000","316.9385E+00",""
"85","1.000","316.8495E+00",""
"86","1.000","316.7907E+00",""
"87","1.000","316.7406E+00",""
"88","1.000","316.8277E+00",""
"89","1.000","316.6980E+00",""
"90","1.000","316.6623E+00",""
"91","1.000","316.6788E+00",""
"92","1.000","316.5985E+00",""
"93","1.000","316.6918E+00",""
"94","1.000","316.6391E+00",""
"95","1.000","316.5918E+00",""
"96","1.000","316.6151E+00",""
"97","1.000","316.6636E+00",""
"98","1.000","316.5893E+00",""
"99","1.000","316.7249E+00",""
"100","1.000","316.5629E+00",""
"101","1.000","316.5848E+00",""
"102","1.000","316.4231E+00",""
"103","1.000","316.5516E+00",""
"104","1.000","316.5433E+00",""
"105","1.000","316.3956E+00",""
"106","1.000","316.3480E+00",""
"107","1.000","316.4246E+00",""
"108","1.000","316.4416E+00",""
"109","1.000","316.4864E+00",""
"110","1.000","316.3576E+00",""
"111","1.000","316.3372E+00",""
"112","1.000","316.3835E+00",""
"113","1.000","316.2836E+00",""
"114","1.000","316.3787E+00",""
"115","1.000","316.2440E+00",""
"116","1.000","316.1891E+00",""
"117","1.000","316.2575E+00",""
"118","1.000","316.1252E+00",""
"119","1.000","316.0759E+00",""
"120","1.000","316.0509E+00",""
"121","1.000","315.9825E+00",""
