"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","321.5125E+00",""
"2","1.000","321.3719E+00",""
"3","1.000","321.3591E+00",""
"4","1.000","321.3074E+00",""
"5","1.000","321.2053E+00",""
"6","1.000","321.2225E+00",""
"7","1.000","321.2574E+00",""
"8","1.000","321.1249E+00",""
"9","1.000","321.0889E+00",""
"10","1.000","321.1067E+00",""
"11","1.000","321.0446E+00",""
"12","1.000","321.0150E+00",""
"13","1.000","321.0243E+00",""
"14","1.000","320.9730E+00",""
"15","1.000","321.1016E+00",""
"16","1.000","321.1610E+00",""
"17","1.000","321.0154E+00",""
"18","1.000","321.0164E+00",""
"19","1.000","321.0080E+00",""
"20","1.000","321.0130E+00",""
"21","1.000","320.9212E+00",""
"22","1.000","320.8869E+00",""
"23","1.000","320.9564E+00",""
"24","1.000","320.9158E+00",""
"25","1.000","320.8926E+00",""
"26","1.000","320.8686E+00",""
"27","1.000","320.9001E+00",""
"28","1.000","320.9067E+00",""
"29","1.000","320.9735E+00",""
"30","1.000","320.8741E+00",""
"31","1.000","320.9044E+00",""
"32","1.000","320.7960E+00",""
"33","1.000","320.9313E+00",""
"34","1.000","320.8560E+00",""
"35","1.000","320.8550E+00",""
"36","1.000","320.8704E+00",""
"37","1.000","320.8322E+00",""
"38","1.000","320.8324E+00",""
"39","1.000","320.8560E+00",""
"40","1.000","320.7404E+00",""
"41","1.000","320.7965E+00",""
"42","1.000","320.7416E+00",""
"43","1.000","320.7547E+00",""
"44","1.000","320.7314E+00",""
"45","1.000","320.7355E+00",""
"46","1.000","320.7253E+00",""
"47","1.000","320.7218E+00",""
"48","1.000","320.8123E+00",""
"49","1.000","320.7352E+00",""
"50","1.000","320.7384E+00",""
"51","1.000","320.7469E+00",""
"52","1.000","320.6883E+00",""
"53","1.000","320.6773E+00",""
"54","1.000","320.6483E+00",""
"55","1.000","320.6172E+00",""
"56","1.000","320.6115E+00",""
"57","1.000","320.6055E+00",""
"58","1.000","320.6912E+00",""
"59","1.000","320.6553E+00",""
"60","1.000","320.6357E+00",""
"61","1.000","320.5938E+00",""
"62","1.000","320.6114E+00",""
"63","1.000","320.5700E+00",""
"64","1.000","320.6207E+00",""
"65","1.000","320.6156E+00",""
"66","1.000","320.6225E+00",""
"67","1.000","320.6270E+00",""
"68","1.000","320.5887E+00",""
"69","1.000","320.5479E+00",""
"70","1.000","320.5146E+00",""
"71","1.000","320.5603E+00",""
"72","1.000","320.5400E+00",""
"73","1.000","320.5240E+00",""
"74","1.000","320.5267E+00",""
"75","1.000","320.5436E+00",""
"76","1.000","320.5413E+00",""
"77","1.000","320.5721E+00",""
"78","1.000","320.5654E+00",""
"79","1.000","320.5147E+00",""
"80","1.000","320.5093E+00",""
"81","1.000","320.5166E+00",""
"82","1.000","320.5149E+00",""
"83","1.000","320.5105E+00",""
"84","1.000","320.4931E+00",""
"85","1.000","320.4364E+00",""
"86","1.000","320.4206E+00",""
"87","1.000","320.4176E+00",""
"88","1.000","320.4459E+00",""
"89","1.000","320.4222E+00",""
"90","1.000","320.5053E+00",""
"91","1.000","320.4144E+00",""
"92","1.000","320.3793E+00",""
"93","1.000","320.3403E+00",""
"94","1.000","320.3507E+00",""
"95","1.000","320.3362E+00",""
"96","1.000","320.3636E+00",""
"97","1.000","320.3735E+00",""
"98","1.000","320.3472E+00",""
"99","1.000","320.3124E+00",""
"100","1.000","320.3065E+00",""
"101","1.000","320.2676E+00",""
"102","1.000","320.2564E+00",""
"103","1.000","320.2497E+00",""
"104","1.000","320.2870E+00",""
"105","1.000","320.3011E+00",""
"106","1.000","320.3273E+00",""
"107","1.000","320.3138E+00",""
"108","1.000","320.2387E+00",""
"109","1.000","320.2723E+00",""
"110","1.000","320.2499E+00",""
"111","1.000","320.2392E+00",""
"112","1.000","320.1955E+00",""
"113","1.000","320.3112E+00",""
"114","1.000","320.2512E+00",""
"115","1.000","320.1657E+00",""
"116","1.000","320.2166E+00",""
"117","1.000","320.1969E+00",""
"118","1.000","320.1383E+00",""
"119","1.000","320.1165E+00",""
"120","1.000","320.0370E+00",""
"121","1.000","320.0114E+00",""
"122","1.000","319.9828E+00",""
"123","1.000","319.9525E+00",""
"124","1.000","319.9313E+00",""
"125","1.000","319.8769E+00",""
"126","1.000","319.9384E+00",""
"127","1.000","319.9382E+00",""
"128","1.000","319.9162E+00",""
"129","1.000","319.8784E+00",""
"130","1.000","319.9206E+00",""
"131","1.000","319.9255E+00",""
"132","1.000","319.9028E+00",""
"133","1.000","319.9617E+00",""
"134","1.000","319.8878E+00",""
"135","1.000","319.8564E+00",""
"136","1.000","319.8624E+00",""
"137","1.000","319.8008E+00",""
"138","1.000","319.7620E+00",""
"139","1.000","319.7223E+00",""
"140","1.000","319.7156E+00",""
"141","1.000","319.7490E+00",""
"142","1.000","319.7165E+00",""
"143","1.000","319.7434E+00",""
"144","1.000","319.7327E+00",""
"145","1.000","319.7049E+00",""
"146","1.000","319.7202E+00",""
"147","1.000","319.6911E+00",""
"148","1.000","319.7634E+00",""
"149","1.000","319.7061E+00",""
"150","1.000","319.7428E+00",""
"151","1.000","319.7812E+00",""
"152","1.000","319.7184E+00",""
"153","1.000","319.7423E+00",""
"154","1.000","319.7040E+00",""
"155","1.000","319.7503E+00",""
"156","1.000","319.7291E+00",""
"157","1.000","319.6321E+00",""
"158","1.000","319.6491E+00",""
"159","1.000","319.6006E+00",""
"160","1.000","319.5420E+00",""
"161","1.000","319.5423E+00",""
"162","1.000","319.5864E+00",""
"163","1.000","319.5331E+00",""
"164","1.000","319.5176E+00",""
"165","1.000","319.4434E+00",""
"166","1.000","319.4537E+00",""
"167","1.000","319.4708E+00",""
"168","1.000","319.4613E+00",""
"169","1.000","319.4329E+00",""
"170","1.000","319.4298E+00",""
"171","1.000","319.4219E+00",""
"172","1.000","319.4098E+00",""
"173","1.000","319.4281E+00",""
"174","1.000","319.4876E+00",""
"175","1.000","319.4431E+00",""
"176","1.000","319.4154E+00",""
"177","1.000","319.3425E+00",""
"178","1.000","319.3388E+00",""
"179","1.000","319.3203E+00",""
"180","1.000","319.3517E+00",""
"181","1.000","319.4671E+00",""
"182","1.000","319.4862E+00",""
"183","1.000","319.3610E+00",""
"184","1.000","319.3150E+00",""
"185","1.000","319.4071E+00",""
"186","1.000","319.4456E+00",""
"187","1.000","319.3536E+00",""
"188","1.000","319.3155E+00",""
"189","1.000","319.3422E+00",""
"190","1.000","319.4870E+00",""
"191","1.000","319.3577E+00",""
"192","1.000","319.4162E+00",""
"193","1.000","319.3425E+00",""
"194","1.000","319.3285E+00",""
"195","1.000","319.3407E+00",""
"196","1.000","319.3550E+00",""
"197","1.000","319.3715E+00",""
"198","1.000","319.3342E+00",""
"199","1.000","319.2748E+00",""
"200","1.000","319.3762E+00",""
"201","1.000","319.2900E+00",""
"202","1.000","319.3238E+00",""
"203","1.000","319.3162E+00",""
"204","1.000","319.3709E+00",""
"205","1.000","319.3259E+00",""
"206","1.000","319.2880E+00",""
"207","1.000","319.2681E+00",""
"208","1.000","319.3001E+00",""
"209","1.000","319.2605E+00",""
"210","1.000","319.2510E+00",""
"211","1.000","319.2905E+00",""
"212","1.000","319.2551E+00",""
"213","1.000","319.2514E+00",""
"214","1.000","319.2656E+00",""
"215","1.000","319.2284E+00",""
"216","1.000","319.2394E+00",""
"217","1.000","319.2245E+00",""
"218","1.000","319.2257E+00",""
"219","1.000","319.2365E+00",""
"220","1.000","319.2266E+00",""
"221","1.000","319.2084E+00",""
"222","1.000","319.2165E+00",""
"223","1.000","319.2441E+00",""
