"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","321.9307E+00",""
"2","1.000","321.5791E+00",""
"3","1.000","321.2487E+00",""
"4","1.000","321.1306E+00",""
"5","1.000","320.9701E+00",""
"6","1.000","320.6494E+00",""
"7","1.000","320.5399E+00",""
"8","1.000","320.3750E+00",""
"9","1.000","320.2663E+00",""
"10","1.000","320.1163E+00",""
"11","1.000","319.9852E+00",""
"12","1.000","319.8161E+00",""
"13","1.000","319.6997E+00",""
"14","1.000","319.6060E+00",""
"15","1.000","319.4292E+00",""
"16","1.000","319.3679E+00",""
"17","1.000","319.1763E+00",""
"18","1.000","319.0870E+00",""
"19","1.000","319.1183E+00",""
"20","1.000","318.9466E+00",""
"21","1.000","319.0139E+00",""
"22","1.000","318.9332E+00",""
"23","1.000","318.8549E+00",""
"24","1.000","318.8264E+00",""
"25","1.000","318.7594E+00",""
"26","1.000","318.7389E+00",""
"27","1.000","318.6738E+00",""
"28","1.000","318.6589E+00",""
"29","1.000","318.5999E+00",""
"30","1.000","318.5960E+00",""
"31","1.000","318.5091E+00",""
"32","1.000","318.5661E+00",""
"33","1.000","318.4145E+00",""
"34","1.000","318.3329E+00",""
"35","1.000","318.3441E+00",""
"36","1.000","318.3812E+00",""
"37","1.000","318.3184E+00",""
"38","1.000","318.4013E+00",""
"39","1.000","318.2866E+00",""
"40","1.000","318.1646E+00",""
"41","1.000","318.1339E+00",""
"42","1.000","318.1439E+00",""
"43","1.000","318.1649E+00",""
"44","1.000","318.1157E+00",""
"45","1.000","318.1024E+00",""
"46","1.000","318.1102E+00",""
"47","1.000","318.1144E+00",""
"48","1.000","318.1034E+00",""
"49","1.000","318.1486E+00",""
"50","1.000","318.0684E+00",""
"51","1.000","318.0390E+00",""
"52","1.000","318.0638E+00",""
"53","1.000","318.0289E+00",""
"54","1.000","318.0658E+00",""
"55","1.000","318.0146E+00",""
"56","1.000","318.0054E+00",""
"57","1.000","317.9708E+00",""
"58","1.000","317.8524E+00",""
"59","1.000","317.8679E+00",""
"60","1.000","317.8742E+00",""
"61","1.000","317.8244E+00",""
"62","1.000","317.7237E+00",""
"63","1.000","317.7542E+00",""
"64","1.000","317.7989E+00",""
"65","1.000","317.8350E+00",""
"66","1.000","317.7833E+00",""
"67","1.000","317.7610E+00",""
"68","1.000","317.8228E+00",""
"69","1.000","317.7914E+00",""
"70","1.000","317.7525E+00",""
"71","1.000","317.7204E+00",""
"72","1.000","317.6557E+00",""
"73","1.000","317.6365E+00",""
"74","1.000","317.7145E+00",""
"75","1.000","317.6590E+00",""
"76","1.000","317.6813E+00",""
"77","1.000","317.7372E+00",""
"78","1.000","317.7923E+00",""
"79","1.000","317.7725E+00",""
"80","1.000","317.7242E+00",""
"81","1.000","317.6709E+00",""
"82","1.000","317.6202E+00",""
"83","1.000","317.6325E+00",""
"84","1.000","317.6040E+00",""
"85","1.000","317.5995E+00",""
"86","1.000","317.6351E+00",""
"87","1.000","317.5895E+00",""
"88","1.000","317.5836E+00",""
"89","1.000","317.5241E+00",""
"90","1.000","317.5653E+00",""
"91","1.000","317.6188E+00",""
"92","1.000","317.5910E+00",""
"93","1.000","317.6035E+00",""
"94","1.000","317.5220E+00",""
"95","1.000","317.5549E+00",""
"96","1.000","317.5657E+00",""
"97","1.000","317.4926E+00",""
"98","1.000","317.4307E+00",""
"99","1.000","317.4315E+00",""
"100","1.000","317.4615E+00",""
"101","1.000","317.3952E+00",""
"102","1.000","317.4066E+00",""
"103","1.000","317.3531E+00",""
"104","1.000","317.2756E+00",""
"105","1.000","317.3187E+00",""
"106","1.000","317.2934E+00",""
"107","1.000","317.2652E+00",""
"108","1.000","317.2455E+00",""
"109","1.000","317.2851E+00",""
"110","1.000","317.3089E+00",""
"111","1.000","317.3033E+00",""
"112","1.000","317.2665E+00",""
"113","1.000","317.2817E+00",""
"114","1.000","317.2807E+00",""
"115","1.000","317.2794E+00",""
"116","1.000","317.2771E+00",""
"117","1.000","317.2891E+00",""
"118","1.000","317.2411E+00",""
"119","1.000","317.2069E+00",""
"120","1.000","317.1792E+00",""
"121","1.000","317.1700E+00",""
"122","1.000","317.1519E+00",""
"123","1.000","317.1698E+00",""
"124","1.000","317.1670E+00",""
"125","1.000","317.1687E+00",""
"126","1.000","317.1647E+00",""
"127","1.000","317.0807E+00",""
"128","1.000","317.0996E+00",""
"129","1.000","317.0037E+00",""
"130","1.000","317.0088E+00",""
"131","1.000","317.0267E+00",""
"132","1.000","316.9843E+00",""
"133","1.000","317.0096E+00",""
"134","1.000","316.9426E+00",""
"135","1.000","317.0136E+00",""
"136","1.000","317.0196E+00",""
"137","1.000","316.9462E+00",""
"138","1.000","316.9460E+00",""
"139","1.000","316.9159E+00",""
"140","1.000","316.8660E+00",""
"141","1.000","316.9144E+00",""
"142","1.000","316.8881E+00",""
"143","1.000","316.9305E+00",""
"144","1.000","316.9114E+00",""
"145","1.000","316.8606E+00",""
"146","1.000","316.8913E+00",""
"147","1.000","316.9062E+00",""
"148","1.000","316.8793E+00",""
"149","1.000","316.8878E+00",""
"150","1.000","316.8413E+00",""
"151","1.000","316.8228E+00",""
"152","1.000","316.8227E+00",""
"153","1.000","316.8224E+00",""
"154","1.000","316.7703E+00",""
"155","1.000","316.8171E+00",""
"156","1.000","316.8113E+00",""
"157","1.000","316.7777E+00",""
"158","1.000","316.7366E+00",""
"159","1.000","316.7370E+00",""
"160","1.000","316.7275E+00",""
"161","1.000","316.6725E+00",""
"162","1.000","316.6759E+00",""
"163","1.000","316.6869E+00",""
"164","1.000","316.6496E+00",""
"165","1.000","316.6353E+00",""
"166","1.000","316.5952E+00",""
"167","1.000","316.5996E+00",""
"168","1.000","316.5738E+00",""
"169","1.000","316.6013E+00",""
"170","1.000","316.5725E+00",""
"171","1.000","316.5585E+00",""
"172","1.000","316.5487E+00",""
"173","1.000","316.5606E+00",""
"174","1.000","316.5603E+00",""
"175","1.000","316.6053E+00",""
"176","1.000","316.5512E+00",""
"177","1.000","316.5985E+00",""
"178","1.000","316.5305E+00",""
"179","1.000","316.5155E+00",""
"180","1.000","316.5188E+00",""
"181","1.000","316.4674E+00",""
"182","1.000","316.4546E+00",""
"183","1.000","316.5042E+00",""
"184","1.000","316.5033E+00",""
"185","1.000","315.0537E+00",""
"186","1.000","315.0772E+00",""
"187","1.000","315.0663E+00",""
"188","1.000","315.0503E+00",""
"189","1.000","315.1040E+00",""
"190","1.000","315.0656E+00",""
"191","1.000","315.1442E+00",""
"192","1.000","315.0707E+00",""
"193","1.000","315.0845E+00",""
"194","1.000","315.1085E+00",""
"195","1.000","315.1081E+00",""
"196","1.000","315.0933E+00",""
"197","1.000","315.1211E+00",""
"198","1.000","315.0940E+00",""
"199","1.000","315.1132E+00",""
"200","1.000","315.1178E+00",""
"201","1.000","315.0957E+00",""
"202","1.000","315.1085E+00",""
"203","1.000","315.1061E+00",""
"204","1.000","315.1580E+00",""
"205","1.000","315.1178E+00",""
"206","1.000","315.0969E+00",""
"207","1.000","315.1387E+00",""
"208","1.000","315.0823E+00",""
"209","1.000","315.0723E+00",""
"210","1.000","315.0717E+00",""
"211","1.000","315.0535E+00",""
"212","1.000","315.0440E+00",""
"213","1.000","315.0342E+00",""
"214","1.000","315.0826E+00",""
"215","1.000","315.0413E+00",""
"216","1.000","315.0158E+00",""
"217","1.000","314.9869E+00",""
"218","1.000","314.9476E+00",""
"219","1.000","314.9598E+00",""
"220","1.000","314.9003E+00",""
"221","1.000","314.8525E+00",""
"222","1.000","314.8583E+00",""
"223","1.000","314.8481E+00",""
"224","1.000","314.8255E+00",""
"225","1.000","314.8414E+00",""
"226","1.000","314.8317E+00",""
"227","1.000","314.8156E+00",""
"228","1.000","314.8127E+00",""
"229","1.000","314.8305E+00",""
"230","1.000","314.8227E+00",""
"231","1.000","314.8237E+00",""
"232","1.000","314.7933E+00",""
"233","1.000","314.7805E+00",""
"234","1.000","314.7800E+00",""
"235","1.000","314.7942E+00",""
"236","1.000","314.7799E+00",""
"237","1.000","314.7268E+00",""
"238","1.000","314.7224E+00",""
"239","1.000","314.7502E+00",""
"240","1.000","314.7653E+00",""
"241","1.000","314.7319E+00",""

