"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","696.9787E+00",""
"2","1.000","696.6416E+00",""
"3","1.000","696.0998E+00",""
"4","1.000","695.2648E+00",""
"5","1.000","694.4993E+00",""
"6","1.000","694.0141E+00",""
"7","1.000","692.5327E+00",""
"8","1.000","691.7326E+00",""
"9","1.000","690.8965E+00",""
"10","1.000","690.1204E+00",""
"11","1.000","689.6786E+00",""
"12","1.000","689.5149E+00",""
"13","1.000","689.4589E+00",""
"14","1.000","689.5348E+00",""
"15","1.000","689.4224E+00",""
"16","1.000","689.2391E+00",""
"17","1.000","689.1986E+00",""
"18","1.000","689.0379E+00",""
"19","1.000","688.9324E+00",""
"20","1.000","688.7139E+00",""
"21","1.000","688.5209E+00",""
"22","1.000","688.4441E+00",""
"23","1.000","688.2992E+00",""
"24","1.000","688.2684E+00",""
"25","1.000","688.2346E+00",""
"26","1.000","688.0399E+00",""
"27","1.000","688.0042E+00",""
"28","1.000","687.9188E+00",""
"29","1.000","687.7963E+00",""
"30","1.000","687.6368E+00",""
"31","1.000","687.6253E+00",""
"32","1.000","687.5928E+00",""
"33","1.000","687.6262E+00",""
"34","1.000","687.6425E+00",""
"35","1.000","687.5484E+00",""
"36","1.000","687.6990E+00",""
"37","1.000","687.6454E+00",""
"38","1.000","687.5841E+00",""
"39","1.000","687.5330E+00",""
"40","1.000","687.4861E+00",""
"41","1.000","687.3809E+00",""
"42","1.000","687.2062E+00",""
"43","1.000","687.3286E+00",""
"44","1.000","687.2581E+00",""
"45","1.000","687.2006E+00",""
"46","1.000","687.1958E+00",""
"47","1.000","687.1178E+00",""
"48","1.000","687.1315E+00",""
"49","1.000","687.1117E+00",""
"50","1.000","687.0121E+00",""
"51","1.000","686.9785E+00",""
"52","1.000","686.8794E+00",""
"53","1.000","686.9049E+00",""
"54","1.000","686.7931E+00",""
"55","1.000","686.7777E+00",""
"56","1.000","686.6631E+00",""
"57","1.000","686.4684E+00",""
"58","1.000","686.3504E+00",""
"59","1.000","686.1369E+00",""
"60","1.000","686.0526E+00",""
"61","1.000","685.9133E+00",""
"62","1.000","685.9465E+00",""
"63","1.000","685.8186E+00",""
"64","1.000","685.6240E+00",""
"65","1.000","685.3834E+00",""
"66","1.000","685.1873E+00",""
"67","1.000","684.9514E+00",""
"68","1.000","684.9654E+00",""
"69","1.000","684.7534E+00",""
"70","1.000","684.6239E+00",""
"71","1.000","684.6200E+00",""
"72","1.000","684.4904E+00",""
"73","1.000","684.5276E+00",""
"74","1.000","684.4497E+00",""
"75","1.000","684.3880E+00",""
"76","1.000","684.3519E+00",""
"77","1.000","684.3489E+00",""
"78","1.000","684.3091E+00",""
"79","1.000","684.0775E+00",""
"80","1.000","684.0341E+00",""
"81","1.000","683.9263E+00",""
"82","1.000","683.8469E+00",""
"83","1.000","683.5898E+00",""
"84","1.000","683.3535E+00",""
"85","1.000","683.3672E+00",""
"86","1.000","683.2359E+00",""
"87","1.000","683.1401E+00",""
"88","1.000","683.0516E+00",""
"89","1.000","682.9490E+00",""
"90","1.000","682.8561E+00",""
"91","1.000","682.8439E+00",""
"92","1.000","682.6656E+00",""
"93","1.000","682.7461E+00",""
"94","1.000","682.6896E+00",""
"95","1.000","682.7375E+00",""
"96","1.000","682.6013E+00",""
"97","1.000","682.5517E+00",""
"98","1.000","682.4442E+00",""
"99","1.000","682.3978E+00",""
"100","1.000","682.4571E+00",""
"101","1.000","682.4446E+00",""
"102","1.000","682.3451E+00",""
"103","1.000","682.3866E+00",""
"104","1.000","682.1743E+00",""
"105","1.000","682.1570E+00",""
"106","1.000","681.9963E+00",""
"107","1.000","682.0699E+00",""
"108","1.000","682.0404E+00",""
"109","1.000","682.0174E+00",""
"110","1.000","681.9886E+00",""
"111","1.000","682.0662E+00",""
"112","1.000","681.8186E+00",""
"113","1.000","681.8423E+00",""
"114","1.000","681.7306E+00",""
"115","1.000","681.6746E+00",""
"116","1.000","681.6974E+00",""
