"No.","CV[V]","Z[ohm]","OFF"
"1","1.000","393.3619E+00",""
"2","1.000","392.6473E+00",""
"3","1.000","392.1871E+00",""
"4","1.000","391.6485E+00",""
"5","1.000","391.4392E+00",""
"6","1.000","391.1328E+00",""
"7","1.000","390.8366E+00",""
"8","1.000","389.6544E+00",""
"9","1.000","388.5159E+00",""
"10","1.000","387.4028E+00",""
"11","1.000","386.9808E+00",""
"12","1.000","386.6626E+00",""
"13","1.000","386.0210E+00",""
"14","1.000","385.2478E+00",""
"15","1.000","386.1470E+00",""
"16","1.000","384.0469E+00",""
"17","1.000","383.3525E+00",""
"18","1.000","382.8736E+00",""
"19","1.000","382.4544E+00",""
"20","1.000","382.2172E+00",""
"21","1.000","382.0903E+00",""
"22","1.000","381.8967E+00",""
"23","1.000","381.7289E+00",""
"24","1.000","381.5546E+00",""
"25","1.000","381.2860E+00",""
"26","1.000","380.9550E+00",""
"27","1.000","380.3879E+00",""
"28","1.000","379.1262E+00",""
"29","1.000","377.4614E+00",""
"30","1.000","376.4608E+00",""
"31","1.000","375.8724E+00",""
"32","1.000","375.4701E+00",""
"33","1.000","375.1022E+00",""
"34","1.000","374.8324E+00",""
"35","1.000","374.6178E+00",""
"36","1.000","374.3811E+00",""
"37","1.000","374.1624E+00",""
"38","1.000","373.9946E+00",""
"39","1.000","373.7941E+00",""
"40","1.000","373.5829E+00",""
"41","1.000","373.1961E+00",""
"42","1.000","372.8862E+00",""
"43","1.000","372.2727E+00",""
"44","1.000","371.7131E+00",""
"45","1.000","371.4280E+00",""
"46","1.000","371.1492E+00",""
"47","1.000","370.8094E+00",""
"48","1.000","370.6211E+00",""
"49","1.000","370.4811E+00",""
"50","1.000","370.3675E+00",""
"51","1.000","370.1983E+00",""
"52","1.000","370.0826E+00",""
"53","1.000","369.9775E+00",""
"54","1.000","369.8782E+00",""
"55","1.000","369.7692E+00",""
"56","1.000","369.6416E+00",""
"57","1.000","369.5622E+00",""
"58","1.000","369.4379E+00",""
"59","1.000","369.3249E+00",""
"60","1.000","369.2249E+00",""
"61","1.000","369.1276E+00",""
"62","1.000","369.0095E+00",""
"63","1.000","368.9577E+00",""
"64","1.000","368.9062E+00",""
"65","1.000","368.7457E+00",""
"66","1.000","368.6910E+00",""
"67","1.000","368.5253E+00",""
"68","1.000","368.3331E+00",""
"69","1.000","368.3141E+00",""
"70","1.000","368.1710E+00",""
"71","1.000","368.0496E+00",""
"72","1.000","367.9766E+00",""
"73","1.000","367.8728E+00",""
"74","1.000","367.7726E+00",""
"75","1.000","367.6993E+00",""
"76","1.000","367.6726E+00",""
"77","1.000","367.5981E+00",""
"78","1.000","367.5344E+00",""
"79","1.000","367.4256E+00",""
"80","1.000","367.3495E+00",""
"81","1.000","367.2681E+00",""
"82","1.000","367.0982E+00",""
"83","1.000","366.9954E+00",""
"84","1.000","366.8997E+00",""
"85","1.000","366.7720E+00",""
"86","1.000","366.7185E+00",""
"87","1.000","366.6374E+00",""
"88","1.000","366.5798E+00",""
"89","1.000","366.5254E+00",""
"90","1.000","366.4416E+00",""
"91","1.000","366.4178E+00",""
"92","1.000","366.3833E+00",""
"93","1.000","366.2938E+00",""
"94","1.000","366.2378E+00",""
"95","1.000","366.2024E+00",""
"96","1.000","366.1432E+00",""
"97","1.000","366.0956E+00",""
"98","1.000","366.0270E+00",""
"99","1.000","365.9700E+00",""
"100","1.000","365.9090E+00",""
"101","1.000","365.8325E+00",""
"102","1.000","365.8044E+00",""
"103","1.000","365.7427E+00",""
"104","1.000","365.7037E+00",""
"105","1.000","365.6259E+00",""
"106","1.000","365.5827E+00",""
"107","1.000","365.5274E+00",""
"108","1.000","365.4794E+00",""
"109","1.000","365.4165E+00",""
"110","1.000","365.4013E+00",""
"111","1.000","365.3131E+00",""
"112","1.000","365.2667E+00",""
"113","1.000","365.1254E+00",""
"114","1.000","365.0485E+00",""
"115","1.000","364.8878E+00",""
"116","1.000","364.8398E+00",""
"117","1.000","364.7900E+00",""
"118","1.000","364.7196E+00",""
"119","1.000","364.6210E+00",""
"120","1.000","364.5444E+00",""
"121","1.000","364.4653E+00",""
"122","1.000","364.3919E+00",""
"123","1.000","364.3355E+00",""
"124","1.000","364.2117E+00",""
"125","1.000","364.1858E+00",""
"126","1.000","364.0741E+00",""
"127","1.000","364.0382E+00",""
"128","1.000","363.9816E+00",""
"129","1.000","363.8686E+00",""
"130","1.000","363.7616E+00",""
"131","1.000","363.6579E+00",""
"132","1.000","363.5688E+00",""
"133","1.000","363.5407E+00",""
"134","1.000","363.4963E+00",""
"135","1.000","363.4458E+00",""
"136","1.000","363.3296E+00",""
"137","1.000","363.3405E+00",""
"138","1.000","363.3140E+00",""
"139","1.000","363.2130E+00",""
"140","1.000","363.1908E+00",""
"141","1.000","363.1115E+00",""
"142","1.000","363.0784E+00",""
"143","1.000","362.9877E+00",""
"144","1.000","362.9534E+00",""
"145","1.000","362.8825E+00",""
"146","1.000","362.8529E+00",""
"147","1.000","362.7940E+00",""
"148","1.000","362.7028E+00",""
"149","1.000","362.6560E+00",""
"150","1.000","362.5925E+00",""
"151","1.000","362.4535E+00",""
"152","1.000","362.3488E+00",""
"153","1.000","362.3010E+00",""
"154","1.000","362.2584E+00",""
"155","1.000","362.2070E+00",""
"156","1.000","362.1776E+00",""
"157","1.000","362.1229E+00",""
"158","1.000","362.0446E+00",""
"159","1.000","362.0213E+00",""
"160","1.000","361.9562E+00",""
"161","1.000","361.9009E+00",""
"162","1.000","361.8317E+00",""
"163","1.000","361.8183E+00",""
"164","1.000","361.6968E+00",""
"165","1.000","361.6610E+00",""
"166","1.000","361.6074E+00",""
"167","1.000","361.5591E+00",""
"168","1.000","361.5268E+00",""
"169","1.000","361.4521E+00",""
"170","1.000","361.4202E+00",""
"171","1.000","361.3167E+00",""
"172","1.000","361.1941E+00",""
"173","1.000","361.0998E+00",""
"174","1.000","361.0228E+00",""
"175","1.000","360.9547E+00",""
"176","1.000","360.9279E+00",""
"177","1.000","360.7976E+00",""
"178","1.000","360.7288E+00",""
"179","1.000","360.6728E+00",""
"180","1.000","360.6216E+00",""
"181","1.000","360.4989E+00",""
"182","1.000","360.4727E+00",""
"183","1.000","360.3386E+00",""
"184","1.000","360.3306E+00",""
"185","1.000","360.2022E+00",""
"186","1.000","360.1181E+00",""
"187","1.000","360.0116E+00",""
"188","1.000","359.9387E+00",""
"189","1.000","359.9099E+00",""
"190","1.000","359.8897E+00",""
"191","1.000","359.8331E+00",""
"192","1.000","359.8174E+00",""
"193","1.000","359.6500E+00",""
"194","1.000","359.5395E+00",""
"195","1.000","359.4723E+00",""
"196","1.000","359.2596E+00",""
"197","1.000","359.2478E+00",""
"198","1.000","359.1472E+00",""
"199","1.000","359.1532E+00",""
"200","1.000","359.0541E+00",""
"201","1.000","358.9796E+00",""
"202","1.000","358.9577E+00",""
"203","1.000","358.9382E+00",""
"204","1.000","358.8944E+00",""
"205","1.000","358.8409E+00",""
"206","1.000","358.7647E+00",""
"207","1.000","358.7221E+00",""
"208","1.000","358.6578E+00",""
"209","1.000","358.5985E+00",""
"210","1.000","358.5880E+00",""
"211","1.000","358.4189E+00",""
"212","1.000","358.4183E+00",""
"213","1.000","358.4623E+00",""
"214","1.000","358.3543E+00",""
"215","1.000","358.3653E+00",""
"216","1.000","358.3051E+00",""
"217","1.000","358.2237E+00",""
"218","1.000","358.2237E+00",""
"219","1.000","358.1501E+00",""
"220","1.000","358.1480E+00",""
"221","1.000","358.0797E+00",""
"222","1.000","358.0277E+00",""
"223","1.000","358.0179E+00",""
"224","1.000","357.9922E+00",""
"225","1.000","357.9139E+00",""
"226","1.000","357.9129E+00",""
"227","1.000","357.8644E+00",""
"228","1.000","357.8110E+00",""
"229","1.000","357.7727E+00",""
"230","1.000","357.7329E+00",""
"231","1.000","357.7164E+00",""
"232","1.000","357.6737E+00",""
"233","1.000","357.6415E+00",""
"234","1.000","357.5916E+00",""
"235","1.000","357.5742E+00",""
"236","1.000","357.5997E+00",""
"237","1.000","357.5079E+00",""
"238","1.000","357.4545E+00",""
"239","1.000","357.4420E+00",""
"240","1.000","357.3833E+00",""
"241","1.000","357.3386E+00",""

